qid,question,ground_truth
q_660,When will they meet?,"[""September 2015""]"
q_661,Who did Beyoncé sign a letter for in 2015?,"[""the ONE Campaign""]"
q_662,Who was the letter addressed to?,"[""Angela Merkel and Nkosazana Dlamini-Zuma""]"
q_663,What was Angela Merkel serving as in relation to the letter?,"[""the head of the G7 in Germany""]"
q_664,What did the letter want the two recipients to focus on?,"[""women""]"
q_665,Beyonce along with Jay Z met with whom's family after their death?,"[""Freddie Gray""]"
q_666,Beyonce with Jay Z gave lots of money to bail who out of prison?,"[""protesters""]"
q_667,Who's death caused this protest?,"[""Freddie Gray""]"
q_668,How much bail money did they spend?,"[""thousands of dollars""]"
q_669,Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,"[""Madonna and Celine Dion""]"
q_670,Beyonce and Jay Z got a Guinness World record for what in 2009?,"[""highest-earning power couple""]"
q_671,Beyonce became the highest-paid black musician in which year?,"[""2014""]"
q_672,"Up until May of 2015, how much is Beyonce's total worth?","[""250 million""]"
q_673,"Between 2008 and 2009, which entertainers did Beyonce beat in earnings?","[""Madonna and Celine Dion""]"
q_674,In 2012 who placed Beyonce at 16 in the Celebrity List?,"[""Forbes""]"
q_675,When did she and Jay Z become the highest paid black celebrity couple?,"[""2011""]"
q_676,How much did she earn in 2014?,"[""115 million""]"
q_677,What is Beyonce's net worth in 2015?,"[""250 million""]"
q_678,"Who began reporting Beyoncé's annual earnings, starting in 2008?","[""Forbes""]"
q_679,"When did Beyoncé become the highest paid black musician, ever?","[""April 2014.""]"
q_680,Who predicted that Beyoncé would become the highest paid black entertainer?,"[""MTV""]"
q_681,When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,"[""2013""]"
q_682,Beyonce's range in singing is how many octaves?,"[""four""]"
q_683,who talked about Beyonce's tone and timbre as distinctive?,"[""Jody Rosen""]"
q_684,"Which critic called Beyonce's voice ""versatile""?","[""The Daily Mail""]"
q_685,Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,"[""hip hop""]"
q_686,How many octaves does Beyonce have?,"[""four octaves""]"
q_687,What did the Daily Mail say about Beyonce's voice?,"[""versatile""]"
q_688,What does Rosen claim influenced Beyonce's style?,"[""hip hop""]"
q_689,What do other critics claim?,"[""praise her range and power""]"
q_690,How many octaves does Beyoncé's voice span?,"[""four""]"
q_691,Why is Beyoncé known as the centerpiece of Destiny's Child?,"[""Her vocal abilities""]"
q_692,New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,"[""tart""]"
q_693,What does Jody Rosen say influenced Beyoncé's vocal style?,"[""the hip hop era""]"
q_694,Music from Beyonce is generally categorized as what genre?,"[""R&B""]"
q_695,"Besides R&B, which genres does Beyonce dabble in?","[""pop, soul and funk""]"
q_696,"Beyonce mostly releases English songs, but what other language did she release songs?","[""Spanish""]"
q_697,Spanish songs Beyonce released were for what?,"[""re-release of B'Day""]"
q_698,Beyonce was coached for her Spanish songs by which American?,"[""Rudy Perez""]"
q_699,What kind of music does Beyonce do?,"[""R&B""]"
q_700,What language does she mainly sing?,"[""English""]"
q_701,What other language has she sung?,"[""Spanish""]"
q_702,What album did she re-release in Spanish?,"[""B'Day""]"
q_703,What style of music does Beyoncé usually perform?,"[""R&B""]"
q_704,What language did Beyoncé release several songs in?,"[""Spanish""]"
q_705,Who coached Beyoncé for her Spanish recordings?,"[""Rudy Perez.""]"
q_706,What album did the Spanish songs come from?,"[""B'Day.""]"
q_707,Beyonce does not create which aspect of her music?,"[""beats""]"
q_708,An example of a song aimed towards a male audience is what?,"[""Cater 2 U""]"
q_709,What theme was Beyonce's early music?,"[""female-empowerment""]"
q_710,With Jay Z what were her new themes?,"[""man-tending anthems""]"
q_711,What does she get credits for in her music?,"[""co-producing credits""]"
q_712,What part of production does she do?,"[""melodies""]"
q_713,Beyoncé's early recordings empowered who?,"[""Women""]"
q_714,"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?","[""co-producing""]"
q_715,"Rather than beats, what two things does Beyoncé usually come up with for producers?","[""melodies and ideas""]"
q_716,Pop Songwriter of the Year award in 2001 was awarded to whom?,"[""Beyoncé""]"
q_717,Beyonce received the Pop Songwriter of the Year award at which event?,"[""American Society of Composers, Authors, and Publishers Pop Music Awards""]"
q_718,Beyonce has the same number of writing credits on number one singles as whom?,"[""Diane Warren""]"
q_719,Beyonce joined 2 other women on what list from Billboard magazine in 2011?,"[""Top 20 Hot 100 Songwriters""]"
q_720,When did Beyonce become the first African American woman to win Pop songwriter of the year?,"[""2001""]"
q_721,What place is she tied for in songwriting credits?,"[""third""]"
q_722,Who listed her at number 17 in their list of Top 20 hot 100 Songwriters?,"[""Billboard magazine""]"
q_723,Where does she place in writing credits for three number one songs?,"[""third woman""]"
q_724,"What did Beyoncé win in 2001, making her the first black woman to do so?","[""Pop Songwriter of the Year award""]"
q_725,Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,"[""the American Society of Composers, Authors, and Publishers Pop Music Awards.""]"
q_726,"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.","[""three""]"
q_727,What number was Beyoncé on the Top 20 Hot 100 Songwriters list?,"[""17""]"
q_728,To whom did Beyonce credit as her major influence on her music?,"[""Michael Jackson""]"
q_729,How old was Beyonce when she went to her first Michael Jackson concert as a kid?,"[""five""]"
q_730,Beyonce gave a tribute award to who in 2006?,"[""Michael Jackson""]"
q_731,Beyonce cites Mariah Carey to making her want to start doing what?,"[""vocal runs""]"
q_732,Who influenced Beyonce?,"[""Michael Jackson""]"
q_733,What song by Mariah Carey influenced her?,"[""Vision of Love""]"
q_734,Who is Beyoncé's biggest musical influence?,"[""Michael Jackson""]"
q_735,What was Beyoncé's first concert?,"[""Michael Jackson""]"
q_736,Who does Beyoncé feel is an all-around entertainer?,"[""Diana Ross""]"
q_737,"Who does she credit for the inspiration to ""get up there and do what she did""?","[""Whitney Houston""]"
q_738,What song caused Beyoncé to practice runs as a child?,"[""Vision of Love""]"
q_739,What themes were influenced by her acting role in Dreamgirls?,"[""feminism and female empowerment""]"
q_740,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?","[""Josephine Baker""]"
q_741,Who motivated Beyonce to explore other areas of music?,"[""Etta James""]"
q_742,What movie influenced Beyonce towards empowerment themes?,"[""Dreamgirls""]"
q_743,How did Etta James influence her?,"[""boldness""]"
q_744,Where did she perform wearing Baker's hula skirt?,"[""2006 Fashion Rocks concert""]"
q_745,What singer inspired Beyoncé's B'Day album?,"[""Josephine Baker.""]"
q_746,What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,"[""Déjà Vu""]"
q_747,"Beyonce has noted which first lady with saying ""She proves you can do it all""?","[""Michelle Obama""]"
q_748,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,"[""February 2013""]"
q_749,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?","[""Oprah Winfrey""]"
q_750,Who personally influences Beyonce?,"[""Michelle Obama""]"
q_751,Hoe does she describe Oprah Winfrey?,"[""a strong woman""]"
q_752,How does she describe Jean- Michel Basquiat?,"[""lyrical and raw""]"
q_753,How does Madonna influence her?,"[""to take control of her own career""]"
q_754,How does she describe Jay Z?,"[""continuing inspiration""]"
q_755,"Who inspires Beyoncé because ""she does it all?""","[""First Lady Michelle Obama""]"
q_756,Who does Beyoncé describe as the definition of inspiration?,"[""Oprah Winfrey""]"
q_757,Who does Beyoncé describe as lyrical and raw?,"[""Jean-Michel Basquiat""]"
q_758,Who inspired Beyoncé to take control of her career?,"[""Madonna""]"
q_759,Beyonce had an all-female tour band whose name was what?,"[""Suga Mama""]"
q_760,Beyonce had singers in the background known by the name as?,"[""The Mamas""]"
q_761,The Mamas members included which 3 musicians?,"[""Montina Cooper-Donnell, Crystal Collins and Tiffany Moniqué Riddick""]"
q_762,The Mamas first appearance was when?,"[""2006""]"
q_763,What band did Beyonce introduce in 2006?,"[""Suga Mama""]"
q_764,What song name does the band Suga Mama and a song on the B'Day album share?,"[""Suga Mama""]"
q_765,Where did Suga Mama band make their first appearance?,"[""2006 BET Awards""]"
q_766,What band supports Beyonce in her tours?,"[""Suga Mama""]"
q_767,What is the name of Beyoncé's female tour band?,"[""Suga Mama""]"
q_768,Suga Mama is also a song on which Beyoncé album?,"[""B'Day""]"
q_769,What are Beyoncé's backup singers called?,"[""The Mamas""]"
q_770,When did The Mamas make their debut?,"[""the 2006 BET Awards""]"
q_771,What characteristics has Beyonce received acclaim for?,"[""stage presence and voice""]"
q_772,Which former president of Def Jam called Beyonce the greatest entertainer alive?,"[""L.A. Reid""]"
q_773,For what does Beyonce receive praise?,"[""stage presence""]"
q_774,Who chose her as number one on his list of Best singers/ Dancers?,"[""Jarett Wieselman""]"
q_775,How has L.A. Reid described her?,"[""greatest entertainer alive""]"
q_776,How does Alice Jones describe her?,"[""she's almost too good""]"
q_777,Who has Beyoncé at number one on her Five Best Singer/Dancers?,"[""Jarett Wieselman""]"
q_778,Who has said that Beyoncé is the best entertainer alive?,"[""L.A. Reid""]"
q_779,Beyonce self proclaimed alter ego is named what?,"[""Sasha Fierce""]"
q_780,Her alter ego was born when according to Beyonce?,"[""making of \""Crazy in Love\""""]"
q_781,What year did Beyonce do away with Sasha Fierce?,"[""2010""]"
q_782,Beyonce brought back Sasha Fierce during which event?,"[""Revel Presents: Beyoncé Live""]"
q_783,How does she describe Sasha?,"[""too aggressive, too strong""]"
q_784,Later what did she say about Sasha?,"[""she would bring her back""]"
q_785,What is the name of Beyoncé's alter ego?,"[""Sasha Fierce.""]"
q_786,When did Beyoncé introduce Sasha Fierce?,"[""2008""]"
q_787,Sasha Fierce was created during the making of what song?,"[""Crazy in Love""]"
q_788,Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,"[""Allure magazine""]"
q_789,Beyonce's sex appeal is characterized as what?,"[""wide-ranging""]"
q_790,"Which music journalist described Beyonce as a ""crossover sex symbol?""","[""Touré""]"
q_791,Which word spawned from a term used to describe Beyonce in 2006?,"[""Bootylicious""]"
q_792,Bootylicious was a song from which act that Beyonce performed with?,"[""Destiny's Child""]"
q_793,Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,"[""Bootylicious""]"
q_794,What word is often used to describe Beyonce/,"[""Bootylicious""]"
q_795,When was the term added to the dictionary?,"[""2006""]"
q_796,"What journalist wrote that Beyoncé was a ""sex symbol""?","[""Touré""]"
q_797,"Because of Beyoncé's physical shape, what slang term has been used to describe her?","[""Bootylicious""]"
q_798,In what year was the slang term from a title of a Destiny's Child song that is also used to describe Beyoncé put in the dictionary?,"[""2006""]"
q_799,How does Beyoncé say she likes to dress off-stage?,"[""sexily""]"
q_800,"in September 2010, what career area did Beyonce start exploring?","[""modelling""]"
q_801,Beyonce's first modelling event was at where?,"[""Tom Ford's Spring/Summer 2011 fashion show""]"
q_802,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?","[""People""]"
q_803,Which month and year did GQ feature Beyonce on its cover?,"[""January 2013""]"
q_804,What TV network listed Beyonce as number 1 on its 100 Sexiest Artists list?,"[""VH1""]"
q_805,Who called Beyonce the World's most Beautiful Woman?,"[""People""]"
q_806,Who called her Hottest Female Singer of all Time?,"[""Complex""]"
q_807,When did she appear on the cover of GQ?,"[""2013""]"
q_808,VH1 listed her at what number on their 100 Sexiest Artists list?,"[""number 1""]"
q_809,What year did Beyoncé first model for Tom Ford?,"[""2010""]"
q_810,"What magazine said Beyoncé was the ""World's Most Beautiful Woman""?","[""People""]"
q_811,What title did Complex award Beyoncé?,"[""Hottest Female Singer of All Time""]"
q_812,What museum has made several models of Beyoncé in wax?,"[""Madame Tussauds Wax Museums""]"
q_813,Which parent of Beyonce's help co-write a book?,"[""Her mother""]"
q_814,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,"[""Tyra Banks""]"
q_815,What was the title of Beyonce's mother's book?,"[""Destiny's Style""]"
q_816,When was she on the Sports Illustrated cover?,"[""2007""]"
q_817,Who was she the second African American on the cover after?,"[""Tyra Banks""]"
q_818,"Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?","[""Tyra Banks""]"
q_819,"What magazine said Beyoncé was the ""best-dressed celebrity""?","[""People""]"
q_820,Beyonce has a fan base that is referred to as what?,"[""The Bey Hive""]"
q_821,"Before the Bey Hive, fans of Beyonce were called what?","[""The Beyontourage""]"
q_822,Which social media company proclaimed Beyonce fans are know as the Bey Hive?,"[""Twitter""]"
q_823,What is Beyonce's fan base called?,"[""Bey Hive""]"
q_824,What did the fans used to be called?,"[""Beyontourage""]"
q_825,What is the latest term used to describe Beyoncé fans?,"[""Bey Hive""]"
q_826,What was the former word given to Beyoncé fans?,"[""Beyontourage""]"
q_827,"What word does ""Bey Hive"" derive from?","[""beehive""]"
q_828,Beyonce has a clothing line known as what?,"[""House of Deréon""]"
q_829,Which French magazine did Beyonce show up on the cover of?,"[""L'Officiel""]"
q_830,Beyonce was seen wearing what on the french magazine that caused controversy?,"[""blackface and tribal makeup""]"
q_831,Which year did PETA spark controversy with Beyonce?,"[""2006""]"
q_832,What did PETA criticize Beyonce for in 2006?,"[""for wearing and using fur""]"
q_833,What French Magazine cover did the media criticize?,"[""L'Officiel""]"
q_834,How was she dressed on the cover of L'Officiel?,"[""in blackface and tribal makeup""]"
q_835,What French magazine did Beyoncé appear in wearing blackface and tribal makeup?,"[""L'Officiel""]"
q_836,What clothing line of Beyoncé drew PETA criticism?,"[""House of Deréon.""]"
q_837,What type of magazine is L'Officiel?,"[""French fashion magazine""]"
q_838,Which racial community gave criticism to Beyonce?,"[""African-American""]"
q_839,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,"[""Emmett Price""]"
q_840,Which company was accused of coloring Beyonce's hair?,"[""L'Oréal""]"
q_841,What did Vogue request?,"[""natural pictures be used""]"
q_842,How did L'Oreal respond to accusations of changing pictures?,"[""it is categorically untrue""]"
q_843,"In addition to her light skin color, what else has made part of the African American community criticize Beyoncé?","[""costuming""]"
q_844,"In 2007, which music professor said he believes this criticism does involve race as well?","[""Emmett Price""]"
q_845,Who was accused of lightening Beyoncé's skin for an advertisement?,"[""L'Oréal""]"
q_846,What advertisement was Beyoncé's skin supposedly lightened in?,"[""Feria hair color advertisements""]"
q_847,Who did Beyoncé tell in 2013 to only use natural pictures of her rather than retouched images?,"[""H&M""]"
q_848,Artist of the Decade was bestowed upon Beyonce from which magazine?,"[""The Guardian""]"
q_849,Whats the first year that Beyonce appear on the Time 100 list?,"[""2013""]"
q_850,Beyonce than appeared again on the Time 100 list in what year?,"[""2014""]"
q_851,What did the Guardian name her?,"[""Artist of the Decade""]"
q_852,When did Beyonce first make the Time 100 List?,"[""2013""]"
q_853,When was she again on the Time 100 List and on the cover?,"[""2014""]"
q_854,Who said that she is the reigning national voice?,"[""Baz Luhrmann""]"
q_855,Who stated that Beyoncé is the most important musician of the 21st century?,"[""Jody Rosen""]"
q_856,Which publication named Beyoncé the Artist of the Decade?,"[""The Guardian""]"
q_857,What list did Beyoncé make in 2013?,"[""Time 100 list""]"
q_858,Who said Beyoncé is the heir-apparent diva of the United States?,"[""Baz Luhrmann""]"
q_859,What year was Beyoncé featured both on the Time 100 list as well as the cover of the issue?,"[""2014""]"
q_860,Which rock band cited Beyonce on their third album?,"[""White Rabbits""]"
q_861,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""","[""Gwyneth Paltrow""]"
q_862,Nicky Minaj became a spokesperson for which brand of soda after seeing Beyonce involved with it?,"[""Pepsi""]"
q_863,What influenced Nicki Minaj to join the Pepsi global campaign?,"[""Beyoncé's Pepsi commercial""]"
q_864,Which band listed Beyonce as an inspiration on their latest album?,"[""White Rabbits""]"
q_865,What about Beyonce has influenced many entertainers?,"[""work""]"
q_866,For what film was Paltrow studying Beyonce ?,"[""Country Strong""]"
q_867,Which Indie band said Beyoncé was an inspiration for one of hteir albums?,"[""White Rabbits""]"
q_868,What was the name of the White Rabbits' album?,"[""Milk Famous""]"
q_869,Who studied Beyoncé during live concerts for research for a film's music role?,"[""Gwyneth Paltrow""]"
q_870,What was the name of the film that Gwyneth Paltrow starred in as a musician?,"[""Country Strong.""]"
q_871,Beyoncé's Pepsi commercial inspired which star to join Pepsi's global campaign in 2012?,"[""Nicki Minaj""]"
q_872,"VH1 declared what song the ""Greatest song of the 2000s?""","[""Crazy in Love""]"
q_873,"How many Grammy awards did ""Crazy in Love"" win?","[""two""]"
q_874,How many did Crazy in Love sell to become one of the greatest selling singles in history?,"[""8 million""]"
q_875,What type of organism was named after Beyonce in 2012?,"[""fly""]"
q_876,A place for Beyonce in the Rock and Roll Hall of fame was awarded when?,"[""July 2014""]"
q_877,Which of Beyonce's songs was called Greatest Song of the 2000s?,"[""Crazy in Love""]"
q_878,How many Grammy awards did Crazy in Love get?,"[""earned two Grammy Awards""]"
q_879,How many copies did Crazy in Love sell?,"[""around 8 million copies""]"
q_880,Who released the single Girls Love Beyonce?,"[""Drake""]"
q_881,Which publication considers Crazy in Love to be one of the top 500 songs of all time?,"[""Rolling Stone""]"
q_882,"Who sang ""Girls Love Beyoncé"" in 2013?","[""Drake""]"
q_883,What did Bryan Lessard name after Beyoncé?,"[""a species of horse fly""]"
q_884,How many copies of her albums as Beyonce sold in the US?,"[""15 million""]"
q_885,"Totaling worldwide, how many records as Beyonce sold?","[""118 million""]"
q_886,How many certifications was Beyonce awarded by the RIAA?,"[""64""]"
q_887,"When Beyonce was with Destiny's Child, how many albums did she manage to sell?","[""60 million""]"
q_888,Who was the first female to achieve the International Artist Award at the American Music Awards?,"[""Beyoncé""]"
q_889,How many albums has Beyonce as a solo artist sold in the U.S?,"[""15 million""]"
q_890,How many has she sold worldwide?,"[""118 million""]"
q_891,How many records has she sold with Destiny's Child?,"[""60 million""]"
q_892,When did she receive the Legend Award?,"[""2008 World Music Awards""]"
q_893,How many music certifications has she received in the 2000s?,"[""64 certifications""]"
q_894,How many records has Beyoncé sold in the United States?,"[""over 15 million""]"
q_895,How many records has Beyoncé sold throughout the world?,"[""over 118 million""]"
q_896,Who cited Beyoncé as being the top certified artist of the 2000s?,"[""The Recording Industry Association of America""]"
q_897,How many certifications did RIAA give Beyoncé?,"[""64""]"
q_898,When did Beyoncé receive the Legend Award?,"[""the 2008 World Music Awards""]"
q_899,How many Grammys has Beyonce won total with and without Destiny's Child?,"[""20""]"
q_900,Who is the only other woman with more Grammy awards than Beyonce?,"[""Alison Krauss""]"
q_901,Beyonce has been awarded how many Grammy nominations?,"[""52""]"
q_902,Beyonce holds the record for how many wins in one night by a female?,"[""six""]"
q_903,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,"[""two""]"
q_904,How many Grammies has Beyonce won?,"[""20 Grammy Awards""]"
q_905,How many Grammy nominations does Beyonce have?,"[""52 nominations""]"
q_906,When did she set the record for most Grammy awards won in one night?,"[""2010""]"
q_907,Who tied her record for most Grammies won in one night in 2012?,"[""Adele""]"
q_908,How many Grammys has Beyoncé won?,"[""20""]"
q_909,How many Grammy nominations has Beyoncé had?,"[""52""]"
q_910,What Beyoncé song was song of the year on 2010?,"[""\""Single Ladies (Put a Ring on It)\""""]"
q_911,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,"[""Dreamgirls""]"
q_912,Which soda company has Beyonce partnered with since 2002?,"[""Pepsi""]"
q_913,Pepsi paid Beyonce how much in 2012 for her endorsement?,"[""50 million""]"
q_914,Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?,"[""The Center for Science in the Public Interest (CSPINET)""]"
q_915,What percentage of people were positive about Beyonce's endorsement of Pepsi?,"[""70""]"
q_916,When did Beyonce begin doing Pepsi advetisments?,"[""2002""]"
q_917,Who was in the commercial with Beyonce in 2004?,"[""Britney Spears, Pink, and Enrique Iglesias""]"
q_918,What did she agree to do for 50 million dollars in 2012?,"[""endorse Pepsi""]"
q_919,Who sent her a letter asking that she reconsider the Pepsi deal?,"[""Center for Science in the Public Interest""]"
q_920,What soft drink company has Beyoncé worked with since 2002?,"[""Pepsi""]"
q_921,How much did Beyoncé get for a deal with a soft drink company in 2012?,"[""$50 million""]"
q_922,Who asked her to change her mind about the soft drink deal due to the nature of the product?,"[""The Center for Science in the Public Interest (CSPINET)""]"
q_923,What organization discovered that the advertisements Beyoncé did for the soft drink company were 70% positive?,"[""NetBase""]"
q_924,"Beyonce worked with who on her perfumes, True Star and True Star Gold?","[""Tommy Hilfiger""]"
q_925,The world's best selling celebrity perfume line belongs to whom?,"[""Beyoncé""]"
q_926,Beyonce's first fragrance had what name?,"[""Heat""]"
q_927,The Mrs. Carter Show Limited Edition was released in what year?,"[""2013""]"
q_928,How much money did The Mrs. Carter Show Limited Edition fragrance make?,"[""400 million""]"
q_929,What was Beyonce's 2010 perfume called?,"[""Heat""]"
q_930,"When was her second perfume, Heat Rush, released?","[""2011""]"
q_931,What was Beyonce's third perfume named?,"[""Pulse""]"
q_932,How many editions of Heat have been launched?,"[""six editions""]"
q_933,Which Emporio Armani fragrance did Beyoncé promote in 2007?,"[""Diamonds""]"
q_934,What year did Beyoncé introduce her first fragrance?,"[""2010.""]"
q_935,What was Beyoncé's first fragrance called?,"[""Heat""]"
q_936,How many editions of Heat exist?,"[""six""]"
q_937,How young was Beyonce when she acquired deals from American Express and L'Oreal?,"[""18""]"
q_938,What was the name of the video game that was cancelled for Beyonce?,"[""Starpower: Beyoncé""]"
q_939,When did Beyonce begin her deals with name brands?,"[""since the age of 18""]"
q_940,How many people lost jobs when Beyonce left the video game deal?,"[""70 staff""]"
q_941,How was the suit settled?,"[""out of court""]"
q_942,What was the name of the video game?,"[""Starpower: Beyoncé""]"
q_943,What video game did Beyoncé back out of?,"[""Starpower: Beyoncé""]"
q_944,What company was producing the video game?,"[""GateFive""]"
q_945,How many people lost their jobs over Beyoncé backing out of the deal?,"[""70""]"
q_946,When was the disagreement settled out of court?,"[""June 2013""]"
q_947,Who did Bayonce's management go into business with in 2014?,"[""fashion retailer Topshop""]"
q_948,"After their agreement together, Beyonce's and Topshop"" new business was called what?","[""Parkwood Topshop Athletic Ltd""]"
q_949,What type of clothing does Parkwood Topshop Athletic Ltd produce?,"[""activewear""]"
q_950,The company and products were set to be in stores when?,"[""fall of 2015""]"
q_951,Who did Beyonce partner with in London?,"[""Topshop""]"
q_952,When will the new line launch?,"[""2015""]"
q_953,What is the name of Beyoncé's management company?,"[""Parkwood Entertainment""]"
q_954,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,"[""Topshop""]"
q_955,Where is Topshop located?,"[""London""]"
q_956,What was the new division of Topshop because of the partnership?,"[""activewear""]"
q_957,"When was it discovered Beyonce was a co-owner of the music service, Tidal?","[""March 30, 2015""]"
q_958,The parent company of Tidal became under the ownership of whom in 2015?,"[""Jay Z""]"
q_959,When was it announced that Beyonce was a co-owner in Tidal?,"[""March 30, 2015""]"
q_960,What kind of service is Tidal?,"[""music streaming service""]"
q_961,What is a criticism of other streaming services?,"[""low payout of royalties""]"
q_962,What music streaming system is Beyoncé part owner of?,"[""Tidal.""]"
q_963,What is the parent company of the music service Beyoncé owns part of?,"[""Aspiro""]"
q_964,Who acquired the parent company of the music service Beyoncé owns part of?,"[""Jay Z""]"
q_965,What music service is accused of providing low royalty amounts?,"[""Spotify""]"
q_966,House of Dereon became known through Beyonce and which of Beyonce's relatives?,"[""her mother""]"
q_967,Beyonce's grandma's name was?,"[""Agnèz Deréon""]"
q_968,Beyonce's family's company name is what?,"[""Beyond Productions""]"
q_969,What types of garments are sold by Beyonce's clothing line?,"[""sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear""]"
q_970,Which two countries can you purchase Beyonce's clothing line?,"[""US and Canada""]"
q_971,"Who partnered with Beyonce to start the clothing line, Dereon?","[""her mother""]"
q_972,When did Beyonce and her mother start Dereon?,"[""2005""]"
q_973,Who was the business named for in Beyonce's family?,"[""grandmother, Agnèz Deréon""]"
q_974,Where were items from the clothing line displayed?,"[""in Destiny's Child's shows and tours""]"
q_975,Who shares in the House of Deréon fashion line introduction with Beyoncé?,"[""her mother""]"
q_976,What is the name of the House of Deréon junior collection?,"[""Deréon.""]"
q_977,What type of accessory company did Beyonce partner with in 2005?,"[""shoe""]"
q_978,"In 2010, Beyonce released Dereon to what country?","[""Brazil""]"
q_979,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,"[""2009""]"
q_980,What did Beyonce's Fashion Diva feature?,"[""House of Deréon collection""]"
q_981,What new idea did Beyonce and her mother launch in 2009?,"[""Sasha Fierce for Deréon""]"
q_982,When did Beyonce partner with C&A to sell fashion in Brazil?,"[""May 27, 2010""]"
q_983,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,"[""House of Brands""]"
q_984,What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?,"[""Beyoncé Fashion Diva""]"
q_985,What was the name of the junior fashions launched in 2009 by Beyoncé and her mother?,"[""Sasha Fierce for Deréon""]"
q_986,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,"[""C&A""]"
q_987,Sasha Fierce for Deréon fashions were sold at stores that included Macy's and what other store?,"[""Dillard's""]"
q_988,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?","[""Topshop""]"
q_989,Beyonce and Topshops first products were to be sold in stores when?,"[""autumn 2015""]"
q_990,What is the new business called?,"[""Parkwood Topshop Athletic Ltd""]"
q_991,What is Beyonce's percentage of ownership in the new venture?,"[""50""]"
q_992,When will the full line appear?,"[""April 2016""]"
q_993,What company did Beyoncé contract with to sell clothing in England?,"[""Topshop""]"
q_994,What is the name of the equal partnership's fashion line between Beyoncé and the British company to come out in 2016?,"[""Parkwood Topshop Athletic Ltd""]"
q_995,What type of clothing does the British partnership with Beyoncé sell?,"[""activewear""]"
q_996,What national disaster caused Beyonce to create the Survivor Foundation?,"[""Hurricane Katrina""]"
q_997,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?","[""250,000""]"
q_998,What hurricane years later after Katrina did the organization provide support for?,"[""Ike""]"
q_999,What did Beyonce and Rowland found in 2005?,"[""the Survivor Foundation""]"
