qid,question,answer_no_context,model
q_0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Bernadette Soubirous,llama-3.1-8b-instant
q_1,What is in front of the Notre Dame Main Building?,The quad,llama-3.1-8b-instant
q_10,Where is the headquarters of the Congregation of the Holy Cross?,"Notre Dame, Indiana",llama-3.1-8b-instant
q_100,In what year did the team lead by Knute Rockne win the Rose Bowl?,1924,llama-3.1-8b-instant
q_101,How many years was Knute Rockne head coach at Notre Dame?,13 years,llama-3.1-8b-instant
q_102,How many national titles were won when Knute Rockne coached at Notre Dame?,13 national titles,llama-3.1-8b-instant
q_103,"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",Episcopalian,llama-3.1-8b-instant
q_104,Notre Dame students had a showdown in 1924 with which anti-catholic group?,The Ku Klux Klan,llama-3.1-8b-instant
q_105,Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?,Father John W,llama-3.1-8b-instant
q_106,What type of event did the Klan intend to have at Notre Dame in March of 1924?,Ku Klux Klan rally,llama-3.1-8b-instant
q_107,Where did Notre Dame students and the KKK have their encounter?,South Bend,llama-3.1-8b-instant
q_108,Which person became vice-president of Notre Dame in 1933?,Rev,llama-3.1-8b-instant
q_109,Who was the president of Notre Dame in 1934?,UNKNOWN,llama-3.1-8b-instant
q_11,What is the primary seminary of the Congregation of the Holy Cross?,"Saint Edward's University in Austin, Texas, and also the University of Notre Dame in South Bend, Indiana, are two of the primary seminaries of the Congregation of the Holy Cross",llama-3.1-8b-instant
q_110,Irvin Abell was given what award by Notre Dame?,Irvin Abell was given the LaBar Award by Notre Dame,llama-3.1-8b-instant
q_111,Which year was the Laetare Medal first given out at Notre Dame?,1844,llama-3.1-8b-instant
q_112,For whos glory did Father O'Hara believed that the Notre Dame football team played?,The Virgin Mary,llama-3.1-8b-instant
q_113,Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,UNKNOWN,gemma2-9b-it
q_114,Which institute involving animal life did Cavanaugh create at Notre Dame?,The Eck Institute for Global Health,gemma2-9b-it
q_115,What is O'Shaughnessy Hall of Notre Dame formerly known as?,The Administration Building,gemma2-9b-it
q_116,Which president did Notre Dame have in 1947?,UNKNOWN,gemma2-9b-it
q_117,"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",The Institute for Educational Initiatives,gemma2-9b-it
q_118,What was the lifespan of Theodore Hesburgh?,1917-2015,gemma2-9b-it
q_119,In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,UNKNOWN,gemma2-9b-it
q_12,What is the oldest structure at Notre Dame?,UNKNOWN,gemma2-9b-it
q_120,What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,UNKNOWN,gemma2-9b-it
q_121,During what years was Theodor Hesburgh president of Notre Dame?,1952-1987,gemma2-9b-it
q_122,How many faculty members were at Notre Dame when Hesburgh left the role of president?,UNKNOWN,gemma2-9b-it
q_123,What type of educational institute is Hesburgh given credit for creating at Notre Dame?,Hesburgh Library,gemma2-9b-it
q_124,Which role did Charles Sheedy have at Notre Dame?,Head Coach,gemma2-9b-it
q_125,What title did Thomas Blantz have at Notre Dame?,Head Football Coach,gemma2-9b-it
q_126,In what year did Notre Dame have its earliest undergraduate that was female?,1972,gemma2-9b-it
q_127,With what institute did Notre Dame agree to an exchange program in the 1960s?,UNKNOWN,gemma2-9b-it
q_128,During what years was Edward Malloy president of Notre Dame?,1987-2005,gemma2-9b-it
q_129,"What was the SAT score, on average, at Notre Dame when Edward Malloy became president?",UNKNOWN,gemma2-9b-it
q_13,What individuals live at Fatima House at Notre Dame?,UNKNOWN,gemma2-9b-it
q_130,When Malloy became president of Notre Dame what was the size of the endowment?,UNKNOWN,gemma2-9b-it
q_131,When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?,UNKNOWN,gemma2-9b-it
q_132,The amount of professors at Notre Dame increased by what amount under Malloy?,UNKNOWN,gemma2-9b-it
q_133,When did John Jenkins become the president of Notre Dame?,UNKNOWN,gemma2-9b-it
q_134,"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?",3rd,gemma2-9b-it
q_135,Who was the Notre Dame president that preceded John Jenkins?,Rev,gemma2-9b-it
q_136,Which arena was constructed under Jenkins at Notre Dame?,Joyce Center,gemma2-9b-it
q_137,How much money was spent on enhancing Notre Dame Stadium under John Jenkins?,UNKNOWN,gemma2-9b-it
q_138,Which congregation is in charge of the Old College at Notre Dame?,Congregation of Holy Cross,gemma2-9b-it
q_139,What structure is found on the location of the original church of Father Sorin at Notre Dame?,A statue of Father Sorin,gemma2-9b-it
q_14,Which prize did Frederick Buechner create?,The Frederick Buechner Prize for Fiction,gemma2-9b-it
q_140,In which architectural style is the Basilica of the Sacred Heart at Notre Dame made?,Neo-Byzantine,gemma2-9b-it
q_141,Which individual painted the inside of the Basilica of the Sacred Heart at Notre Dame?,UNKNOWN,gemma2-9b-it
q_142,In what year was the Grotto of Our Lady of Lourdes at Notre Dame constructed?,UNKNOWN,gemma2-9b-it
q_143,Which person oversaw the creation of a science hall at Notre Dame in 1883?,Father Edward Sorin,gemma2-9b-it
q_144,In what year did the student union building at Notre Dame get renamed to LaFortune Center?,1970,gemma2-9b-it
q_145,After which individual was the LaFortune Center Notre Dame named?,John LaFortune,gemma2-9b-it
q_146,How large in square feet is the LaFortune Center at Notre Dame?,UNKNOWN,gemma2-9b-it
q_147,What is the annual budget of Notre Dame's LaFortune Center?,UNKNOWN,gemma2-9b-it
q_148,How many halls are at Notre Dame that house students?,UNKNOWN,gemma2-9b-it
q_149,Which library was built at Notre Dame in 1963?,UNKNOWN,gemma2-9b-it
q_15,How many BS level degrees are offered in the College of Engineering at Notre Dame?,UNKNOWN,gemma2-9b-it
q_150,How many books are housed at the Theodore Hesburgh Library?,UNKNOWN,gemma2-9b-it
q_151,Construction for which hall started on March 8th 2007 at Notre Dame?,UNKNOWN,gemma2-9b-it
q_152,Which baseball stadium is found at Notre Dame?,Frank Eck Stadium,gemma2-9b-it
q_153,In what year did Notre Dame create the Office of Sustainability?,2008,gemma2-9b-it
q_154,What percentage of the food served at Notre Dame is locally grown?,UNKNOWN,gemma2-9b-it
q_155,"Notre Dame got a ""B"" for its sustainability practices from which entity?",The Association for the Advancement of Sustainability in Higher Education (AASHE),gemma2-9b-it
q_156,Gustavo Gutierrez is faculty of which institute?,UNKNOWN,gemma2-9b-it
q_157,In what year did Notre Dame first have a facility in England?,UNKNOWN,gemma2-9b-it
q_158,At which location is the London Center operated by Notre Dame found?,"London, England",gemma2-9b-it
q_159,"Notre Dame has a center in Beijing, what is it referred to as?",Notre Dame Center for China Studies,gemma2-9b-it
q_16,In what year was the College of Engineering at Notre Dame formed?,1887,gemma2-9b-it
q_160,In what year did the Suffolk Street location start to house a Notre Dame facility?,UNKNOWN,gemma2-9b-it
q_161,What was Notre Dame's first college?,UNKNOWN,gemma2-9b-it
q_162,In what year was the The College of Arts and Letters at Notre Dame created?,1842,gemma2-9b-it
q_163,In what year did the College of Arts and Letters at Notre Dame grant its first degree?,1874,gemma2-9b-it
q_164,On which university did Notre Dame base its curriculum on?,UNKNOWN,gemma2-9b-it
q_165,How many BA majors does the College of Arts and Letters at Notre Dame offer?,UNKNOWN,gemma2-9b-it
q_166,Which president at Notre Dame created the College of Science?,UNKNOWN,gemma2-9b-it
q_167,In what year was the Notre Dame College of Science formed?,UNKNOWN,gemma2-9b-it
q_168,How many years long was a scientific course under Patrick Dillon at Notre Dame?,UNKNOWN,gemma2-9b-it
q_169,Which hall at Notre Dame contains the current College of Science?,Jordan Hall,gemma2-9b-it
q_17,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,College of Science,gemma2-9b-it
q_170,How many undergrad students attend the College of Science at Notre Dame today?,UNKNOWN,gemma2-9b-it
q_171,In 1899 Notre Dame formed which college?,UNKNOWN,gemma2-9b-it
q_172,In what building is the current School of Architecture housed at Notre Dame?,DeBartolo Hall,gemma2-9b-it
q_173,What length is the course of study at the Notre Dame School of Architecture?,5 years,gemma2-9b-it
q_174,In which location do students of the School of Architecture of Notre Dame spend their 3rd year?,"Florence, Italy",gemma2-9b-it
q_175,Which prestigious prize does the School of Architecture at Notre Dame give out?,The LaPierre Prize,gemma2-9b-it
q_176,In what year did the opening of a theology library at Notre Dame occur?,UNKNOWN,gemma2-9b-it
q_177,Where is the theology library at Notre Dame?,UNKNOWN,gemma2-9b-it
q_178,How many books are held by the Notre Dame libraries?,UNKNOWN,gemma2-9b-it
q_179,Currently where does Notre Dame's library rank in the nation?,UNKNOWN,gemma2-9b-it
q_18,How many departments are within the Stinson-Remick Hall of Engineering?,UNKNOWN,gemma2-9b-it
q_180,What caused many intellectual Catholics to leave europe in the 1930s?,The rise of Nazism and Fascism,gemma2-9b-it
q_181,From where did Anton-Hermann Chroust come to reach Notre Dame?,UNKNOWN,gemma2-9b-it
q_182,What field of study did Anton-Hermann Chroust specialize in?,Audiology,gemma2-9b-it
q_183,Who did Waldemar Gurian receive his tutelage under while seeking his doctorate?,UNKNOWN,gemma2-9b-it
q_184,What was Ivan Meštrović known for being?,Sculptor,gemma2-9b-it
q_185,"The school known as Notre Dame is known by a more lengthy name, what is it?",The University of Notre Dame,gemma2-9b-it
q_186,What type of institution is the Notre Dame?,University,gemma2-9b-it
q_187,The French words Notre Dame du Lac translate to what in English?,Our Lady of the Lake,gemma2-9b-it
q_188,Who is the patron saint of Notre Dame?,Saint Denis,gemma2-9b-it
q_189,How large is Notre Dame in acres?,UNKNOWN,gemma2-9b-it
q_19,The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,UNKNOWN,gemma2-9b-it
q_190,What caused Notre Dame to become notable in the early 20th century?,The restoration by Viollet-le-Duc,gemma2-9b-it
q_191,Which 20th century Notre Dame football coach is most notable?,Knute Rockne,gemma2-9b-it
q_192,Which athletic association are the student athletes at Notre Dame a part of?,NCAA,gemma2-9b-it
q_193,How many students at Notre Dame received the Heisman Trophy?,7,gemma2-9b-it
q_194,"There were multiple students from Notre Dame who entered the Pro Football Hall of Fame, how many?",6,gemma2-9b-it
q_195,Where among US universities does Notre Dame rank?,UNKNOWN,gemma2-9b-it
q_196,How many individual colleges are part of Notre Dame?,UNKNOWN,gemma2-9b-it
q_197,Which prize does the Architecture School at Notre Dame give out?,The Lafarge Award,gemma2-9b-it
q_198,How many doctorate and masters programs are available at Notre Dame?,UNKNOWN,gemma2-9b-it
q_199,Which art museum does Notre Dame administer?,UNKNOWN,gemma2-9b-it
q_2,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,The Main Building of the University of Notre Dame,gemma2-9b-it
q_20,What entity provides help with the management of time for new students at Notre Dame?,The Office of Student Life,gemma2-9b-it
q_200,In what year was Father Edward Sorin given two years to create a college?,1841,gemma2-9b-it
q_201,Which individual offered land to Father Edward Sorin?,Pierre Menard,gemma2-9b-it
q_202,Which church was Father Edward Sorin representing?,University of Notre Dame,gemma2-9b-it
q_203,On what date did brothers from Holy Cross arrive at the future location of Notre Dame?,"November 26, 1842",gemma2-9b-it
q_204,Which structure was the first used for the purposes of the college?,UNKNOWN,gemma2-9b-it
q_205,In what year did the initial degrees get handed out at Notre Dame?,1879,gemma2-9b-it
q_206,In what year did the original Sorin built Main Building get replaced?,UNKNOWN,gemma2-9b-it
q_207,Which individual began a library at Notre Dame?,UNKNOWN,gemma2-9b-it
q_208,"In what year had the library at Notre Dame reach 10,000 books?",UNKNOWN,gemma2-9b-it
q_209,In what year was the library at Notre Dame started?,UNKNOWN,gemma2-9b-it
q_21,How many colleges for undergraduates are at Notre Dame?,1,gemma2-9b-it
q_210,Which television station finds its home at Notre Dame?,NBC,gemma2-9b-it
q_211,How many programs did NDtv feature in 2002?,UNKNOWN,gemma2-9b-it
q_212,Which radio station provides radio to the students of Notre Dame at 88.9 FM?,WNDM,gemma2-9b-it
q_213,Which internet radio station of Notre Dame is served as an internet stream?,ND Radio,gemma2-9b-it
q_214,How much is Eddy Street Commons at Notre Dame expected to cost?,UNKNOWN,gemma2-9b-it
q_215,When was ground broke on the Eddy Street Commons Project of Notre Dame?,2005,gemma2-9b-it
q_216,Who is the developer of Eddy Street Commons?,UNKNOWN,gemma2-9b-it
q_217,Which entity did Notre Dame hire to build a parking structure outside of Eddy Street Commons?,Associated General Contractors,gemma2-9b-it
q_218,"There were protested as a part of the construction at Eddy Street Commons, they came due tot he hiring of whom?",UNKNOWN,gemma2-9b-it
q_219,What does the acronym NCAA stand for?,National Collegiate Athletic Association,gemma2-9b-it
q_22,What was created at Notre Dame in 1962 to assist first year students?,The Notre Dame Student Union,gemma2-9b-it
q_220,Which league did Notre Dame Fighting Irish teams participate in in 1982?,Independent,gemma2-9b-it
q_221,What when conference do the Notre Dame fencing teams take part in?,NCAA Championships,gemma2-9b-it
q_222,"There is a conference that the male hockey team of Notre Dame competes in, what is it?",Hockey East Conference,gemma2-9b-it
q_223,In what conference did the Fighting Irish take part in in 2012?,UNKNOWN,gemma2-9b-it
q_224,To what conference did the Fighting Irish go after the Big East?,ACC,gemma2-9b-it
q_225,How many teams in each season do the Fighting Irish commit to play against ACC opponents?,8,gemma2-9b-it
q_226,"Where did the Fighting Irish hockey team compete prior to a move to Hockey East, in terms of conference?",Central Collegiate Hockey Association,gemma2-9b-it
q_227,What colors are the official ones used by Notre Dame in sport competition?,Navy and Gold,gemma2-9b-it
q_228,What type of mascot do the Notre Dame sport teams have?,Fighting Irish,gemma2-9b-it
q_229,Who currently provides uniforms to Notre Dame sport teams?,Nike,gemma2-9b-it
q_23,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",The National Science Foundation,gemma2-9b-it
q_230,What is the value of the contract between Under Armour and Notre Dame?,UNKNOWN,gemma2-9b-it
q_231,When did the Notre Dame marching band form?,1898,gemma2-9b-it
q_232,What is notable about the Notre Dame marching band?,"They are known for their ""Victory March",gemma2-9b-it
q_233,What is the Notre Dame fight song?,The Victory March,gemma2-9b-it
q_234,Which team did Notre Dame's football team find inspiration from?,The 1985 Chicago Bears,gemma2-9b-it
q_235,In what year did Notre Dame football begin?,1887,gemma2-9b-it
q_236,What university is Notre Dame tied with in terms of most Heisman Trophy winners?,Oklahoma,gemma2-9b-it
q_237,Against which team does Notre Dame compete for the Jeweled Shillelagh?,Navy,gemma2-9b-it
q_238,In terms of Notre Dame students in the College Football Hall of Fame the amount of students named is what ?,10,gemma2-9b-it
q_239,What notable football player played at Notre Dame from 1916 to 1920?,Knute Rockne,gemma2-9b-it
q_24,The granting of Doctorate degrees first occurred in what year at Notre Dame?,UNKNOWN,gemma2-9b-it
q_240,"Against which opponent did Knute Rockne tell his team to ""win one for the Gipper?""",Notre Dame,gemma2-9b-it
q_241,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""",Pat O'Brien,gemma2-9b-it
q_242,"Ronald Reagan played the role of whom in 1940's ""Knute Rockne?""",George Gipp,gemma2-9b-it
q_243,How many seats are in Notre Dame Stadium?,"77,622",gemma2-9b-it
q_244,What is displayed at Zahm House for football home games at Notre Dame?,The Golden Dome,gemma2-9b-it
q_245,What occurs at midnight preceding a football home game at Notre Dame?,The Golden Dome is illuminated,gemma2-9b-it
q_246,From where does the Band of the Fighting Irish lead a march to the Notre Dame Stadium for football home games?,The Grotto,gemma2-9b-it
q_247,What songs does the trumpet section of the Band of the Fighting Irish play preceding home football games?,UNKNOWN,gemma2-9b-it
q_248,On what day do Notre Dame home football games occur?,Saturday,gemma2-9b-it
q_249,How many wins does the Notre Dame men's basketball team have?,UNKNOWN,gemma2-9b-it
q_25,What type of degree is an M.Div.?,Master of Divinity,gemma2-9b-it
q_250,How many schools have a similar men's basketball record to Notre Dame in terms of wins?,UNKNOWN,gemma2-9b-it
q_251,How many NCAA tournaments did the Notre Dame men's basketball team take part in?,37,gemma2-9b-it
q_252,Which Notre Dame men's basketball player has the record for more points in one game?,UNKNOWN,gemma2-9b-it
q_253,Who was the Notre Dame men's basketball coach in 2014?,Mike Brey,gemma2-9b-it
q_254,Who wrote the original lyrics to the Notre Dame Victory March?,Edward A,gemma2-9b-it
q_255,In what year did Michael J. Shea graduate from Notre Dame?,UNKNOWN,gemma2-9b-it
q_256,"Who is responsible for writing the music for ""Notre Dame Victory March?""",Eugene Goossens,gemma2-9b-it
q_257,"In what year did ""Notre Dame Victory March"" get copyrighted?",1898,gemma2-9b-it
q_258,"To where are the loyal sons in ""Notre Dame Fight Song"" marching?",South Bend,gemma2-9b-it
q_259,"Ronald Reagan had a nickname, what was it?",The Gipper,gemma2-9b-it
q_26,Which program at Notre Dame offers a Master of Education degree?,School of Education,gemma2-9b-it
q_260,"In what film did a parody of the ""Win one for the Gipper"" speech appear?",Animal House,gemma2-9b-it
q_261,Who starred as Daniel Ruettiger in the film Rudy?,Sean Astin,gemma2-9b-it
q_262,Which person was a former comrade to Ted Striker in the film Airplane!?,Dr,gemma2-9b-it
q_263,Pat O'Brien portrayed which person in the film Knute Rockne?,George Gipp,gemma2-9b-it
q_264,Which Secretary of State attended Notre Dame?,UNKNOWN,gemma2-9b-it
q_265,Which Notre Dame alum from the College of Science won a Nobel Prize?,Roger Sperry,gemma2-9b-it
q_266,Who is the current president of Notre Dame?,UNKNOWN,gemma2-9b-it
q_267,Mariel Zagunis is notable for winning what?,Olympic gold medals in fencing,gemma2-9b-it
q_268,Which notable astronaut is known to have attended Notre Dame?,Neil Armstrong,gemma2-9b-it
q_269,When did Beyonce start becoming popular?,Late 1990s,gemma2-9b-it
q_27,In what year was a Master of Arts course first offered at Notre Dame?,UNKNOWN,gemma2-9b-it
q_270,What areas did Beyonce compete in when she was growing up?,Singing and dancing,gemma2-9b-it
q_271,When did Beyonce leave Destiny's Child and become a solo singer?,2003,gemma2-9b-it
q_272,In what city and state did Beyonce grow up?,"Houston, Texas",gemma2-9b-it
q_273,In which decade did Beyonce become famous?,1990s,gemma2-9b-it
q_274,In what R&B group was she the lead singer?,UNKNOWN,gemma2-9b-it
q_275,What album made her a worldwide known artist?,UNKNOWN,gemma2-9b-it
q_276,Who managed the Destiny's Child group?,Mathew Knowles,gemma2-9b-it
q_277,In what city did Beyonce grow up?,Houston,gemma2-9b-it
q_278,What was the name of Beyonce's first solo album?,Dangerously in Love,gemma2-9b-it
q_279,On what date was Beyonce born?,"September 4, 1981",gemma2-9b-it
q_28,Which department at Notre Dame is the only one to not offer a PhD program?,College of Arts and Letters,gemma2-9b-it
q_280,What is Beyonce's full name?,Beyoncé Giselle Knowles-Carter,gemma2-9b-it
q_281,When did Beyoncé rise to fame?,Early 2000s,gemma2-9b-it
q_282,What role did Beyoncé have in Destiny's Child?,Lead vocalist,gemma2-9b-it
q_283,What was the first album Beyoncé released as a solo artist?,Dangerously in Love,gemma2-9b-it
q_284,When did Beyoncé release Dangerously in Love?,June 2003,gemma2-9b-it
q_285,How many Grammy awards did Beyoncé win for her first solo album?,5,gemma2-9b-it
q_286,What was Beyoncé's role in Destiny's Child?,Lead vocalist,gemma2-9b-it
q_287,What was the name of Beyoncé's first solo album?,Dangerously in Love,gemma2-9b-it
q_288,When did Beyoncé release her first solo album?,2003,gemma2-9b-it
q_289,"After her second solo album, what other entertainment venture did Beyonce explore?",Film,gemma2-9b-it
q_29,What institute at Notre Dame studies the reasons for violent conflict?,Kroc Institute for International Peace Studies,gemma2-9b-it
q_290,Which artist did Beyonce marry?,Jay-Z,gemma2-9b-it
q_291,"To set the record for Grammys, how many did Beyonce win?",32,gemma2-9b-it
q_292,For what movie did Beyonce receive her first Golden Globe nomination?,Dreamgirls,gemma2-9b-it
q_293,When did Beyonce take a hiatus in her career and take control of her management?,2005-2006,gemma2-9b-it
q_294,Which album was darker in tone from her previous work?,UNKNOWN,gemma2-9b-it
q_295,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Dreamgirls,gemma2-9b-it
q_296,When did Destiny's Child end their group act?,2006,gemma2-9b-it
q_297,What was the name of Beyoncé's second solo album?,B'Day,gemma2-9b-it
q_298,"What was Beyoncé's first acting job, in 2006?",Dreamgirls,gemma2-9b-it
q_299,Who is Beyoncé married to?,Jay-Z,gemma2-9b-it
q_3,What is the Grotto at Notre Dame?,A sacred space beneath the main altar,gemma2-9b-it
q_30,What is the title of Notre Dame's Theodore Hesburgh?,President Emeritus,gemma2-9b-it
q_300,What is the name of Beyoncé's alter-ego?,Sasha Fierce,gemma2-9b-it
q_302,Time magazine named her one of the most 100 what people of the century?,influential,gemma2-9b-it
q_303,Which magazine declared her the most dominant woman musician?,Rolling Stone,gemma2-9b-it
q_304,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2010s,gemma2-9b-it
q_305,What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes,gemma2-9b-it
q_306,How did Beyonce describe herself as a feminist?,"Feminist"" is a word that's been thrown around a lot",gemma2-9b-it
q_307,In which years did Time rate Beyonce in the 100 most influential people in the world?,"2006, 2009, 2011, 2013, 2016, 2018, 2020, 2021, 2022",gemma2-9b-it
q_308,How many records has Beyonce sold in her 19 year career?,UNKNOWN,gemma2-9b-it
q_309,How many records did Beyoncé sell as part of Destiny's Child?,UNKNOWN,gemma2-9b-it
q_31,In what year was the Joan B. Kroc Institute for International Peace Studies founded?,1985,gemma2-9b-it
q_310,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",7,gemma2-9b-it
q_311,How many Grammy awards has Beyoncé won?,32,gemma2-9b-it
q_312,What magazine named Beyoncé as the most powerful female musician for 2015?,Billboard,gemma2-9b-it
q_313,Beyonce's younger sibling also sang with her in what band?,Destiny's Child,gemma2-9b-it
q_314,Where did Beyonce get her name from?,Her mother,gemma2-9b-it
q_315,What race was Beyonce's father?,African American,gemma2-9b-it
q_316,Beyonce's childhood home believed in what religion?,Christianity,gemma2-9b-it
q_317,Beyonce's father worked as a sales manager for what company?,UNKNOWN,gemma2-9b-it
