qid,question,ground_truth,source_doc_id
q_748,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,"[""February 2013""]",doc_95
q_749,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?","[""Oprah Winfrey""]",doc_95
q_750,Who personally influences Beyonce?,"[""Michelle Obama""]",doc_95
q_751,Hoe does she describe Oprah Winfrey?,"[""a strong woman""]",doc_95
q_752,How does she describe Jean- Michel Basquiat?,"[""lyrical and raw""]",doc_95
q_753,How does Madonna influence her?,"[""to take control of her own career""]",doc_95
q_754,How does she describe Jay Z?,"[""continuing inspiration""]",doc_95
q_755,"Who inspires Beyoncé because ""she does it all?""","[""First Lady Michelle Obama""]",doc_95
q_756,Who does Beyoncé describe as the definition of inspiration?,"[""Oprah Winfrey""]",doc_95
q_757,Who does Beyoncé describe as lyrical and raw?,"[""Jean-Michel Basquiat""]",doc_95
q_758,Who inspired Beyoncé to take control of her career?,"[""Madonna""]",doc_95
q_759,Beyonce had an all-female tour band whose name was what?,"[""Suga Mama""]",doc_96
q_760,Beyonce had singers in the background known by the name as?,"[""The Mamas""]",doc_96
q_761,The Mamas members included which 3 musicians?,"[""Montina Cooper-Donnell, Crystal Collins and Tiffany Moniqué Riddick""]",doc_96
q_762,The Mamas first appearance was when?,"[""2006""]",doc_96
q_763,What band did Beyonce introduce in 2006?,"[""Suga Mama""]",doc_96
q_764,What song name does the band Suga Mama and a song on the B'Day album share?,"[""Suga Mama""]",doc_96
q_765,Where did Suga Mama band make their first appearance?,"[""2006 BET Awards""]",doc_96
q_766,What band supports Beyonce in her tours?,"[""Suga Mama""]",doc_96
q_767,What is the name of Beyoncé's female tour band?,"[""Suga Mama""]",doc_96
q_768,Suga Mama is also a song on which Beyoncé album?,"[""B'Day""]",doc_96
q_769,What are Beyoncé's backup singers called?,"[""The Mamas""]",doc_96
q_770,When did The Mamas make their debut?,"[""the 2006 BET Awards""]",doc_96
q_771,What characteristics has Beyonce received acclaim for?,"[""stage presence and voice""]",doc_97
q_772,Which former president of Def Jam called Beyonce the greatest entertainer alive?,"[""L.A. Reid""]",doc_97
q_773,For what does Beyonce receive praise?,"[""stage presence""]",doc_97
q_774,Who chose her as number one on his list of Best singers/ Dancers?,"[""Jarett Wieselman""]",doc_97
q_775,How has L.A. Reid described her?,"[""greatest entertainer alive""]",doc_97
q_776,How does Alice Jones describe her?,"[""she's almost too good""]",doc_97
q_777,Who has Beyoncé at number one on her Five Best Singer/Dancers?,"[""Jarett Wieselman""]",doc_97
q_778,Who has said that Beyoncé is the best entertainer alive?,"[""L.A. Reid""]",doc_97
q_779,Beyonce self proclaimed alter ego is named what?,"[""Sasha Fierce""]",doc_98
q_780,Her alter ego was born when according to Beyonce?,"[""making of \""Crazy in Love\""""]",doc_98
q_781,What year did Beyonce do away with Sasha Fierce?,"[""2010""]",doc_98
q_782,Beyonce brought back Sasha Fierce during which event?,"[""Revel Presents: Beyoncé Live""]",doc_98
q_783,How does she describe Sasha?,"[""too aggressive, too strong""]",doc_98
q_784,Later what did she say about Sasha?,"[""she would bring her back""]",doc_98
q_785,What is the name of Beyoncé's alter ego?,"[""Sasha Fierce.""]",doc_98
q_786,When did Beyoncé introduce Sasha Fierce?,"[""2008""]",doc_98
q_787,Sasha Fierce was created during the making of what song?,"[""Crazy in Love""]",doc_98
q_788,Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,"[""Allure magazine""]",doc_98
q_789,Beyonce's sex appeal is characterized as what?,"[""wide-ranging""]",doc_99
q_790,"Which music journalist described Beyonce as a ""crossover sex symbol?""","[""Touré""]",doc_99
q_791,Which word spawned from a term used to describe Beyonce in 2006?,"[""Bootylicious""]",doc_99
q_792,Bootylicious was a song from which act that Beyonce performed with?,"[""Destiny's Child""]",doc_99
q_793,Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,"[""Bootylicious""]",doc_99
q_794,What word is often used to describe Beyonce/,"[""Bootylicious""]",doc_99
q_795,When was the term added to the dictionary?,"[""2006""]",doc_99
q_796,"What journalist wrote that Beyoncé was a ""sex symbol""?","[""Touré""]",doc_99
q_797,"Because of Beyoncé's physical shape, what slang term has been used to describe her?","[""Bootylicious""]",doc_99
q_798,In what year was the slang term from a title of a Destiny's Child song that is also used to describe Beyoncé put in the dictionary?,"[""2006""]",doc_99
q_799,How does Beyoncé say she likes to dress off-stage?,"[""sexily""]",doc_99
q_800,"in September 2010, what career area did Beyonce start exploring?","[""modelling""]",doc_100
q_801,Beyonce's first modelling event was at where?,"[""Tom Ford's Spring/Summer 2011 fashion show""]",doc_100
q_802,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?","[""People""]",doc_100
q_803,Which month and year did GQ feature Beyonce on its cover?,"[""January 2013""]",doc_100
q_804,What TV network listed Beyonce as number 1 on its 100 Sexiest Artists list?,"[""VH1""]",doc_100
q_805,Who called Beyonce the World's most Beautiful Woman?,"[""People""]",doc_100
q_806,Who called her Hottest Female Singer of all Time?,"[""Complex""]",doc_100
q_807,When did she appear on the cover of GQ?,"[""2013""]",doc_100
q_808,VH1 listed her at what number on their 100 Sexiest Artists list?,"[""number 1""]",doc_100
q_809,What year did Beyoncé first model for Tom Ford?,"[""2010""]",doc_100
q_810,"What magazine said Beyoncé was the ""World's Most Beautiful Woman""?","[""People""]",doc_100
q_811,What title did Complex award Beyoncé?,"[""Hottest Female Singer of All Time""]",doc_100
q_812,What museum has made several models of Beyoncé in wax?,"[""Madame Tussauds Wax Museums""]",doc_100
q_813,Which parent of Beyonce's help co-write a book?,"[""Her mother""]",doc_101
q_814,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,"[""Tyra Banks""]",doc_101
q_815,What was the title of Beyonce's mother's book?,"[""Destiny's Style""]",doc_101
q_816,When was she on the Sports Illustrated cover?,"[""2007""]",doc_101
q_817,Who was she the second African American on the cover after?,"[""Tyra Banks""]",doc_101
q_818,"Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?","[""Tyra Banks""]",doc_101
q_819,"What magazine said Beyoncé was the ""best-dressed celebrity""?","[""People""]",doc_101
q_820,Beyonce has a fan base that is referred to as what?,"[""The Bey Hive""]",doc_102
q_821,"Before the Bey Hive, fans of Beyonce were called what?","[""The Beyontourage""]",doc_102
q_822,Which social media company proclaimed Beyonce fans are know as the Bey Hive?,"[""Twitter""]",doc_102
q_823,What is Beyonce's fan base called?,"[""Bey Hive""]",doc_102
q_824,What did the fans used to be called?,"[""Beyontourage""]",doc_102
q_825,What is the latest term used to describe Beyoncé fans?,"[""Bey Hive""]",doc_102
q_826,What was the former word given to Beyoncé fans?,"[""Beyontourage""]",doc_102
q_827,"What word does ""Bey Hive"" derive from?","[""beehive""]",doc_102
q_828,Beyonce has a clothing line known as what?,"[""House of Deréon""]",doc_103
q_829,Which French magazine did Beyonce show up on the cover of?,"[""L'Officiel""]",doc_103
q_830,Beyonce was seen wearing what on the french magazine that caused controversy?,"[""blackface and tribal makeup""]",doc_103
q_831,Which year did PETA spark controversy with Beyonce?,"[""2006""]",doc_103
q_832,What did PETA criticize Beyonce for in 2006?,"[""for wearing and using fur""]",doc_103
q_833,What French Magazine cover did the media criticize?,"[""L'Officiel""]",doc_103
q_834,How was she dressed on the cover of L'Officiel?,"[""in blackface and tribal makeup""]",doc_103
q_835,What French magazine did Beyoncé appear in wearing blackface and tribal makeup?,"[""L'Officiel""]",doc_103
q_836,What clothing line of Beyoncé drew PETA criticism?,"[""House of Deréon.""]",doc_103
q_837,What type of magazine is L'Officiel?,"[""French fashion magazine""]",doc_103
q_838,Which racial community gave criticism to Beyonce?,"[""African-American""]",doc_104
q_839,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,"[""Emmett Price""]",doc_104
q_840,Which company was accused of coloring Beyonce's hair?,"[""L'Oréal""]",doc_104
q_841,What did Vogue request?,"[""natural pictures be used""]",doc_104
q_842,How did L'Oreal respond to accusations of changing pictures?,"[""it is categorically untrue""]",doc_104
q_843,"In addition to her light skin color, what else has made part of the African American community criticize Beyoncé?","[""costuming""]",doc_104
q_844,"In 2007, which music professor said he believes this criticism does involve race as well?","[""Emmett Price""]",doc_104
q_845,Who was accused of lightening Beyoncé's skin for an advertisement?,"[""L'Oréal""]",doc_104
q_846,What advertisement was Beyoncé's skin supposedly lightened in?,"[""Feria hair color advertisements""]",doc_104
q_847,Who did Beyoncé tell in 2013 to only use natural pictures of her rather than retouched images?,"[""H&M""]",doc_104
q_848,Artist of the Decade was bestowed upon Beyonce from which magazine?,"[""The Guardian""]",doc_105
q_849,Whats the first year that Beyonce appear on the Time 100 list?,"[""2013""]",doc_105
q_850,Beyonce than appeared again on the Time 100 list in what year?,"[""2014""]",doc_105
q_851,What did the Guardian name her?,"[""Artist of the Decade""]",doc_105
q_852,When did Beyonce first make the Time 100 List?,"[""2013""]",doc_105
q_853,When was she again on the Time 100 List and on the cover?,"[""2014""]",doc_105
q_854,Who said that she is the reigning national voice?,"[""Baz Luhrmann""]",doc_105
q_855,Who stated that Beyoncé is the most important musician of the 21st century?,"[""Jody Rosen""]",doc_105
q_856,Which publication named Beyoncé the Artist of the Decade?,"[""The Guardian""]",doc_105
q_857,What list did Beyoncé make in 2013?,"[""Time 100 list""]",doc_105
q_858,Who said Beyoncé is the heir-apparent diva of the United States?,"[""Baz Luhrmann""]",doc_105
q_859,What year was Beyoncé featured both on the Time 100 list as well as the cover of the issue?,"[""2014""]",doc_105
q_860,Which rock band cited Beyonce on their third album?,"[""White Rabbits""]",doc_106
q_861,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""","[""Gwyneth Paltrow""]",doc_106
q_862,Nicky Minaj became a spokesperson for which brand of soda after seeing Beyonce involved with it?,"[""Pepsi""]",doc_106
q_863,What influenced Nicki Minaj to join the Pepsi global campaign?,"[""Beyoncé's Pepsi commercial""]",doc_106
q_864,Which band listed Beyonce as an inspiration on their latest album?,"[""White Rabbits""]",doc_106
q_865,What about Beyonce has influenced many entertainers?,"[""work""]",doc_106
q_866,For what film was Paltrow studying Beyonce ?,"[""Country Strong""]",doc_106
q_867,Which Indie band said Beyoncé was an inspiration for one of hteir albums?,"[""White Rabbits""]",doc_106
q_868,What was the name of the White Rabbits' album?,"[""Milk Famous""]",doc_106
q_869,Who studied Beyoncé during live concerts for research for a film's music role?,"[""Gwyneth Paltrow""]",doc_106
q_870,What was the name of the film that Gwyneth Paltrow starred in as a musician?,"[""Country Strong.""]",doc_106
q_871,Beyoncé's Pepsi commercial inspired which star to join Pepsi's global campaign in 2012?,"[""Nicki Minaj""]",doc_106
q_872,"VH1 declared what song the ""Greatest song of the 2000s?""","[""Crazy in Love""]",doc_107
q_873,"How many Grammy awards did ""Crazy in Love"" win?","[""two""]",doc_107
q_874,How many did Crazy in Love sell to become one of the greatest selling singles in history?,"[""8 million""]",doc_107
q_875,What type of organism was named after Beyonce in 2012?,"[""fly""]",doc_107
q_876,A place for Beyonce in the Rock and Roll Hall of fame was awarded when?,"[""July 2014""]",doc_107
q_877,Which of Beyonce's songs was called Greatest Song of the 2000s?,"[""Crazy in Love""]",doc_107
q_878,How many Grammy awards did Crazy in Love get?,"[""earned two Grammy Awards""]",doc_107
q_879,How many copies did Crazy in Love sell?,"[""around 8 million copies""]",doc_107
q_880,Who released the single Girls Love Beyonce?,"[""Drake""]",doc_107
q_881,Which publication considers Crazy in Love to be one of the top 500 songs of all time?,"[""Rolling Stone""]",doc_107
q_882,"Who sang ""Girls Love Beyoncé"" in 2013?","[""Drake""]",doc_107
q_883,What did Bryan Lessard name after Beyoncé?,"[""a species of horse fly""]",doc_107
q_884,How many copies of her albums as Beyonce sold in the US?,"[""15 million""]",doc_108
q_885,"Totaling worldwide, how many records as Beyonce sold?","[""118 million""]",doc_108
q_886,How many certifications was Beyonce awarded by the RIAA?,"[""64""]",doc_108
q_887,"When Beyonce was with Destiny's Child, how many albums did she manage to sell?","[""60 million""]",doc_108
q_888,Who was the first female to achieve the International Artist Award at the American Music Awards?,"[""Beyoncé""]",doc_108
q_889,How many albums has Beyonce as a solo artist sold in the U.S?,"[""15 million""]",doc_108
q_890,How many has she sold worldwide?,"[""118 million""]",doc_108
q_891,How many records has she sold with Destiny's Child?,"[""60 million""]",doc_108
q_892,When did she receive the Legend Award?,"[""2008 World Music Awards""]",doc_108
q_893,How many music certifications has she received in the 2000s?,"[""64 certifications""]",doc_108
q_894,How many records has Beyoncé sold in the United States?,"[""over 15 million""]",doc_108
q_895,How many records has Beyoncé sold throughout the world?,"[""over 118 million""]",doc_108
q_896,Who cited Beyoncé as being the top certified artist of the 2000s?,"[""The Recording Industry Association of America""]",doc_108
q_897,How many certifications did RIAA give Beyoncé?,"[""64""]",doc_108
q_898,When did Beyoncé receive the Legend Award?,"[""the 2008 World Music Awards""]",doc_108
q_899,How many Grammys has Beyonce won total with and without Destiny's Child?,"[""20""]",doc_109
q_900,Who is the only other woman with more Grammy awards than Beyonce?,"[""Alison Krauss""]",doc_109
q_901,Beyonce has been awarded how many Grammy nominations?,"[""52""]",doc_109
q_902,Beyonce holds the record for how many wins in one night by a female?,"[""six""]",doc_109
q_903,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,"[""two""]",doc_109
q_904,How many Grammies has Beyonce won?,"[""20 Grammy Awards""]",doc_109
q_905,How many Grammy nominations does Beyonce have?,"[""52 nominations""]",doc_109
q_906,When did she set the record for most Grammy awards won in one night?,"[""2010""]",doc_109
q_907,Who tied her record for most Grammies won in one night in 2012?,"[""Adele""]",doc_109
q_908,How many Grammys has Beyoncé won?,"[""20""]",doc_109
q_909,How many Grammy nominations has Beyoncé had?,"[""52""]",doc_109
q_910,What Beyoncé song was song of the year on 2010?,"[""\""Single Ladies (Put a Ring on It)\""""]",doc_109
q_911,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,"[""Dreamgirls""]",doc_109
q_912,Which soda company has Beyonce partnered with since 2002?,"[""Pepsi""]",doc_110
q_913,Pepsi paid Beyonce how much in 2012 for her endorsement?,"[""50 million""]",doc_110
q_914,Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?,"[""The Center for Science in the Public Interest (CSPINET)""]",doc_110
q_915,What percentage of people were positive about Beyonce's endorsement of Pepsi?,"[""70""]",doc_110
q_916,When did Beyonce begin doing Pepsi advetisments?,"[""2002""]",doc_110
q_917,Who was in the commercial with Beyonce in 2004?,"[""Britney Spears, Pink, and Enrique Iglesias""]",doc_110
q_918,What did she agree to do for 50 million dollars in 2012?,"[""endorse Pepsi""]",doc_110
q_919,Who sent her a letter asking that she reconsider the Pepsi deal?,"[""Center for Science in the Public Interest""]",doc_110
q_920,What soft drink company has Beyoncé worked with since 2002?,"[""Pepsi""]",doc_110
q_921,How much did Beyoncé get for a deal with a soft drink company in 2012?,"[""$50 million""]",doc_110
q_922,Who asked her to change her mind about the soft drink deal due to the nature of the product?,"[""The Center for Science in the Public Interest (CSPINET)""]",doc_110
q_923,What organization discovered that the advertisements Beyoncé did for the soft drink company were 70% positive?,"[""NetBase""]",doc_110
q_924,"Beyonce worked with who on her perfumes, True Star and True Star Gold?","[""Tommy Hilfiger""]",doc_111
q_925,The world's best selling celebrity perfume line belongs to whom?,"[""Beyoncé""]",doc_111
q_926,Beyonce's first fragrance had what name?,"[""Heat""]",doc_111
q_927,The Mrs. Carter Show Limited Edition was released in what year?,"[""2013""]",doc_111
q_928,How much money did The Mrs. Carter Show Limited Edition fragrance make?,"[""400 million""]",doc_111
q_929,What was Beyonce's 2010 perfume called?,"[""Heat""]",doc_111
q_930,"When was her second perfume, Heat Rush, released?","[""2011""]",doc_111
q_931,What was Beyonce's third perfume named?,"[""Pulse""]",doc_111
q_932,How many editions of Heat have been launched?,"[""six editions""]",doc_111
q_933,Which Emporio Armani fragrance did Beyoncé promote in 2007?,"[""Diamonds""]",doc_111
q_934,What year did Beyoncé introduce her first fragrance?,"[""2010.""]",doc_111
q_935,What was Beyoncé's first fragrance called?,"[""Heat""]",doc_111
q_936,How many editions of Heat exist?,"[""six""]",doc_111
q_937,How young was Beyonce when she acquired deals from American Express and L'Oreal?,"[""18""]",doc_112
q_938,What was the name of the video game that was cancelled for Beyonce?,"[""Starpower: Beyoncé""]",doc_112
q_939,When did Beyonce begin her deals with name brands?,"[""since the age of 18""]",doc_112
q_940,How many people lost jobs when Beyonce left the video game deal?,"[""70 staff""]",doc_112
q_941,How was the suit settled?,"[""out of court""]",doc_112
q_942,What was the name of the video game?,"[""Starpower: Beyoncé""]",doc_112
q_943,What video game did Beyoncé back out of?,"[""Starpower: Beyoncé""]",doc_112
q_944,What company was producing the video game?,"[""GateFive""]",doc_112
q_945,How many people lost their jobs over Beyoncé backing out of the deal?,"[""70""]",doc_112
q_946,When was the disagreement settled out of court?,"[""June 2013""]",doc_112
q_947,Who did Bayonce's management go into business with in 2014?,"[""fashion retailer Topshop""]",doc_113
q_948,"After their agreement together, Beyonce's and Topshop"" new business was called what?","[""Parkwood Topshop Athletic Ltd""]",doc_113
q_949,What type of clothing does Parkwood Topshop Athletic Ltd produce?,"[""activewear""]",doc_113
q_950,The company and products were set to be in stores when?,"[""fall of 2015""]",doc_113
q_951,Who did Beyonce partner with in London?,"[""Topshop""]",doc_113
q_952,When will the new line launch?,"[""2015""]",doc_113
q_953,What is the name of Beyoncé's management company?,"[""Parkwood Entertainment""]",doc_113
q_954,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,"[""Topshop""]",doc_113
q_955,Where is Topshop located?,"[""London""]",doc_113
q_956,What was the new division of Topshop because of the partnership?,"[""activewear""]",doc_113
q_957,"When was it discovered Beyonce was a co-owner of the music service, Tidal?","[""March 30, 2015""]",doc_114
q_958,The parent company of Tidal became under the ownership of whom in 2015?,"[""Jay Z""]",doc_114
q_959,When was it announced that Beyonce was a co-owner in Tidal?,"[""March 30, 2015""]",doc_114
q_960,What kind of service is Tidal?,"[""music streaming service""]",doc_114
q_961,What is a criticism of other streaming services?,"[""low payout of royalties""]",doc_114
q_962,What music streaming system is Beyoncé part owner of?,"[""Tidal.""]",doc_114
q_963,What is the parent company of the music service Beyoncé owns part of?,"[""Aspiro""]",doc_114
q_964,Who acquired the parent company of the music service Beyoncé owns part of?,"[""Jay Z""]",doc_114
q_965,What music service is accused of providing low royalty amounts?,"[""Spotify""]",doc_114
q_966,House of Dereon became known through Beyonce and which of Beyonce's relatives?,"[""her mother""]",doc_115
q_967,Beyonce's grandma's name was?,"[""Agnèz Deréon""]",doc_115
q_968,Beyonce's family's company name is what?,"[""Beyond Productions""]",doc_115
q_969,What types of garments are sold by Beyonce's clothing line?,"[""sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear""]",doc_115
q_970,Which two countries can you purchase Beyonce's clothing line?,"[""US and Canada""]",doc_115
q_971,"Who partnered with Beyonce to start the clothing line, Dereon?","[""her mother""]",doc_115
q_972,When did Beyonce and her mother start Dereon?,"[""2005""]",doc_115
q_973,Who was the business named for in Beyonce's family?,"[""grandmother, Agnèz Deréon""]",doc_115
q_974,Where were items from the clothing line displayed?,"[""in Destiny's Child's shows and tours""]",doc_115
q_975,Who shares in the House of Deréon fashion line introduction with Beyoncé?,"[""her mother""]",doc_115
q_976,What is the name of the House of Deréon junior collection?,"[""Deréon.""]",doc_115
q_977,What type of accessory company did Beyonce partner with in 2005?,"[""shoe""]",doc_116
q_978,"In 2010, Beyonce released Dereon to what country?","[""Brazil""]",doc_116
q_979,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,"[""2009""]",doc_116
q_980,What did Beyonce's Fashion Diva feature?,"[""House of Deréon collection""]",doc_116
q_981,What new idea did Beyonce and her mother launch in 2009?,"[""Sasha Fierce for Deréon""]",doc_116
q_982,When did Beyonce partner with C&A to sell fashion in Brazil?,"[""May 27, 2010""]",doc_116
q_983,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,"[""House of Brands""]",doc_116
q_984,What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?,"[""Beyoncé Fashion Diva""]",doc_116
q_985,What was the name of the junior fashions launched in 2009 by Beyoncé and her mother?,"[""Sasha Fierce for Deréon""]",doc_116
q_986,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,"[""C&A""]",doc_116
q_987,Sasha Fierce for Deréon fashions were sold at stores that included Macy's and what other store?,"[""Dillard's""]",doc_116
q_988,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?","[""Topshop""]",doc_117
q_989,Beyonce and Topshops first products were to be sold in stores when?,"[""autumn 2015""]",doc_117
q_990,What is the new business called?,"[""Parkwood Topshop Athletic Ltd""]",doc_117
q_991,What is Beyonce's percentage of ownership in the new venture?,"[""50""]",doc_117
q_992,When will the full line appear?,"[""April 2016""]",doc_117
q_993,What company did Beyoncé contract with to sell clothing in England?,"[""Topshop""]",doc_117
q_994,What is the name of the equal partnership's fashion line between Beyoncé and the British company to come out in 2016?,"[""Parkwood Topshop Athletic Ltd""]",doc_117
q_995,What type of clothing does the British partnership with Beyoncé sell?,"[""activewear""]",doc_117
q_996,What national disaster caused Beyonce to create the Survivor Foundation?,"[""Hurricane Katrina""]",doc_118
q_997,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?","[""250,000""]",doc_118
q_998,What hurricane years later after Katrina did the organization provide support for?,"[""Ike""]",doc_118
q_999,What did Beyonce and Rowland found in 2005?,"[""the Survivor Foundation""]",doc_118
