qid,question
q_0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?
q_1,What is in front of the Notre Dame Main Building?
q_2,The Basilica of the Sacred heart at Notre Dame is beside to which structure?
q_3,What is the Grotto at Notre Dame?
q_4,What sits on top of the Main Building at Notre Dame?
q_5,When did the Scholastic Magazine of Notre dame begin publishing?
q_6,How often is Notre Dame's the Juggler published?
q_7,What is the daily student paper at Notre Dame called?
q_8,How many student news papers are found at Notre Dame?
q_9,In what year did the student paper Common Sense begin publication at Notre Dame?
q_10,Where is the headquarters of the Congregation of the Holy Cross?
q_11,What is the primary seminary of the Congregation of the Holy Cross?
q_12,What is the oldest structure at Notre Dame?
q_13,What individuals live at Fatima House at Notre Dame?
q_14,Which prize did Frederick Buechner create?
q_15,How many BS level degrees are offered in the College of Engineering at Notre Dame?
q_16,In what year was the College of Engineering at Notre Dame formed?
q_17,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?
q_18,How many departments are within the Stinson-Remick Hall of Engineering?
q_19,The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?
q_20,What entity provides help with the management of time for new students at Notre Dame?
q_21,How many colleges for undergraduates are at Notre Dame?
q_22,What was created at Notre Dame in 1962 to assist first year students?
q_23,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?"""
q_24,The granting of Doctorate degrees first occurred in what year at Notre Dame?
q_25,What type of degree is an M.Div.?
q_26,Which program at Notre Dame offers a Master of Education degree?
q_27,In what year was a Master of Arts course first offered at Notre Dame?
q_28,Which department at Notre Dame is the only one to not offer a PhD program?
q_29,What institute at Notre Dame studies the reasons for violent conflict?
q_30,What is the title of Notre Dame's Theodore Hesburgh?
q_31,In what year was the Joan B. Kroc Institute for International Peace Studies founded?
q_32,To whom was John B. Kroc married?
q_33,What company did Ray Kroc own?
q_34,How many stories tall is the main library at Notre Dame?
q_35,What is the name of the main library at Notre Dame?
q_36,In what year was the Theodore M. Hesburgh Library at Notre Dame finished?
q_37,Which artist created the mural on the Theodore M. Hesburgh Library?
q_38,What is a common name to reference the mural created by Millard Sheets at Notre Dame?
q_39,How many incoming students did Notre Dame admit in fall 2015?
q_40,What percentage of students were admitted to Notre Dame in fall 2015?
q_41,Where does Notre Dame rank in terms of academic profile among research universities in the US?
q_42,What percentage of students at Notre Dame participated in the Early Action program?
q_43,How many miles does the average student at Notre Dame travel to study there?
q_44,Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?
q_45,Forbes.com placed Notre Dame at what position compared to other US research universities?
q_46,The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?
q_47,In 2014 what entity named Notre Dame 10th best of all American universities?
q_48,What percentage of Notre Dame students decide to study abroad?
q_49,What person was the Director of the Science Museum at Notre Dame in the late 19th century?
q_50,What was the lifespan of John Augustine Zahm?
q_51,What program did John Augustine Zahm come to co-direct at Nore Dame?
q_52,What book did John Zahm write in 1896?
q_53,What professorship did Father Josh Carrier hold at Notre Dame?
q_54,In what year did Albert Zahm begin comparing aeronatical models at Notre Dame?
q_55,Which professor sent the first wireless message in the USA?
q_56,In what year did Jerome Green send his first wireless message?
q_57,Which individual worked on projects at Notre Dame that eventually created neoprene?
q_58,What did the brother of John Zahm construct at Notre Dame?
q_59,Work on a germ-free-life ended up in the creation of which Notre Dame institute?
q_60,Around what time did Lobund of Notre Dame become independent?
q_61,In what year did Lobund at Notre Dame become an Institute?
q_62,The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?
q_63,When did study of a germ-free-life begin at Notre Dame?
q_64,Gurian created what in 1939 at Notre Dame?
q_65,What was the Review of Politics inspired by?
q_66,Over how many years did Gurian edit the Review of Politics at Notre Dame?
q_67,Thomas Stritch was an editor of which publican from Notre Dame?
q_68,Who was the president of Notre Dame in 2012?
q_69,The Kellogg Institute for International Studies is part of which university?
q_70,What does the Kroc Institute at Notre Dame focus on?
q_71,In what year did Notre Dame begin to host the Global Adaptation Index?
q_72,What threat does the Global Adaptation Index study?
q_73,How many undergrads were attending Notre Dame in 2014?
q_74,What percentage of students at Notre Dame are the children of former Notre Dame students?
q_75,How many teams participate in the Notre Dame Bookstore Basketball tournament?
q_76,For what cause is money raised at the Bengal Bouts tournament at Notre Dame?
q_77,How many students in total were at Notre Dame in 2014?
q_78,What percentage of undergrads live on the Notre Dame campus?
q_79,How many student housing areas are reserved for Notre Dame's graduate students?
q_80,How many dorms for males are on the Notre Dame campus?
q_81,What amount of the graduate student body at Notre Dame live on the campus?
q_82,There are how many dorms for females at Notre Dame?
q_83,What is Congregation of Holy Cross in Latin?
q_84,What percentage of Notre Dame students feel they are Christian?
q_85,How often is Catholic mass held at Notre Dame in a week?
q_86,How many chapels are on the Notre Dame campus?
q_87,What amount of the student body of Notre Dame identifies as Catholic?
q_88,What was the music hall at Notre Dame called?
q_89,In what year was the Main Building at Notre Dame razed in a fire?
q_90,Who was the president of Notre Dame in 1879?
q_91,On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?
q_92,What did the Science Hall at Notre Dame come to be known as?
q_93,What type of education was pushed at Notre Dame before its embracing of national standards?
q_94,Which college did Notre Dame add in 1921?
q_95,"In 1919 a new president of Notre Dame was named, who was it?"
q_96,Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?
q_97,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?
q_98,"The Notre Dame football team got a new head coach in 1918, who was it?"
q_99,What was the amount of wins Knute Rockne attained at Notre Dame while head coach?
q_100,In what year did the team lead by Knute Rockne win the Rose Bowl?
q_101,How many years was Knute Rockne head coach at Notre Dame?
q_102,How many national titles were won when Knute Rockne coached at Notre Dame?
q_103,"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?"
q_104,Notre Dame students had a showdown in 1924 with which anti-catholic group?
q_105,Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?
q_106,What type of event did the Klan intend to have at Notre Dame in March of 1924?
q_107,Where did Notre Dame students and the KKK have their encounter?
q_108,Which person became vice-president of Notre Dame in 1933?
q_109,Who was the president of Notre Dame in 1934?
q_110,Irvin Abell was given what award by Notre Dame?
q_111,Which year was the Laetare Medal first given out at Notre Dame?
q_112,For whos glory did Father O'Hara believed that the Notre Dame football team played?
q_113,Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?
q_114,Which institute involving animal life did Cavanaugh create at Notre Dame?
q_115,What is O'Shaughnessy Hall of Notre Dame formerly known as?
q_116,Which president did Notre Dame have in 1947?
q_117,"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?"
q_118,What was the lifespan of Theodore Hesburgh?
q_119,In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?
q_120,What was the size of the Notre Dame endowment when Theodore Hesburgh became president?
q_121,During what years was Theodor Hesburgh president of Notre Dame?
q_122,How many faculty members were at Notre Dame when Hesburgh left the role of president?
q_123,What type of educational institute is Hesburgh given credit for creating at Notre Dame?
q_124,Which role did Charles Sheedy have at Notre Dame?
q_125,What title did Thomas Blantz have at Notre Dame?
q_126,In what year did Notre Dame have its earliest undergraduate that was female?
q_127,With what institute did Notre Dame agree to an exchange program in the 1960s?
q_128,During what years was Edward Malloy president of Notre Dame?
q_129,"What was the SAT score, on average, at Notre Dame when Edward Malloy became president?"
q_130,When Malloy became president of Notre Dame what was the size of the endowment?
q_131,When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?
q_132,The amount of professors at Notre Dame increased by what amount under Malloy?
q_133,When did John Jenkins become the president of Notre Dame?
q_134,"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?"
q_135,Who was the Notre Dame president that preceded John Jenkins?
q_136,Which arena was constructed under Jenkins at Notre Dame?
q_137,How much money was spent on enhancing Notre Dame Stadium under John Jenkins?
q_138,Which congregation is in charge of the Old College at Notre Dame?
q_139,What structure is found on the location of the original church of Father Sorin at Notre Dame?
q_140,In which architectural style is the Basilica of the Sacred Heart at Notre Dame made?
q_141,Which individual painted the inside of the Basilica of the Sacred Heart at Notre Dame?
q_142,In what year was the Grotto of Our Lady of Lourdes at Notre Dame constructed?
q_143,Which person oversaw the creation of a science hall at Notre Dame in 1883?
q_144,In what year did the student union building at Notre Dame get renamed to LaFortune Center?
q_145,After which individual was the LaFortune Center Notre Dame named?
q_146,How large in square feet is the LaFortune Center at Notre Dame?
q_147,What is the annual budget of Notre Dame's LaFortune Center?
q_148,How many halls are at Notre Dame that house students?
q_149,Which library was built at Notre Dame in 1963?
q_150,How many books are housed at the Theodore Hesburgh Library?
q_151,Construction for which hall started on March 8th 2007 at Notre Dame?
q_152,Which baseball stadium is found at Notre Dame?
q_153,In what year did Notre Dame create the Office of Sustainability?
q_154,What percentage of the food served at Notre Dame is locally grown?
q_155,"Notre Dame got a ""B"" for its sustainability practices from which entity?"
q_156,Gustavo Gutierrez is faculty of which institute?
q_157,In what year did Notre Dame first have a facility in England?
q_158,At which location is the London Center operated by Notre Dame found?
q_159,"Notre Dame has a center in Beijing, what is it referred to as?"
q_160,In what year did the Suffolk Street location start to house a Notre Dame facility?
q_161,What was Notre Dame's first college?
q_162,In what year was the The College of Arts and Letters at Notre Dame created?
q_163,In what year did the College of Arts and Letters at Notre Dame grant its first degree?
q_164,On which university did Notre Dame base its curriculum on?
q_165,How many BA majors does the College of Arts and Letters at Notre Dame offer?
q_166,Which president at Notre Dame created the College of Science?
q_167,In what year was the Notre Dame College of Science formed?
q_168,How many years long was a scientific course under Patrick Dillon at Notre Dame?
q_169,Which hall at Notre Dame contains the current College of Science?
q_170,How many undergrad students attend the College of Science at Notre Dame today?
q_171,In 1899 Notre Dame formed which college?
q_172,In what building is the current School of Architecture housed at Notre Dame?
q_173,What length is the course of study at the Notre Dame School of Architecture?
q_174,In which location do students of the School of Architecture of Notre Dame spend their 3rd year?
q_175,Which prestigious prize does the School of Architecture at Notre Dame give out?
q_176,In what year did the opening of a theology library at Notre Dame occur?
q_177,Where is the theology library at Notre Dame?
q_178,How many books are held by the Notre Dame libraries?
q_179,Currently where does Notre Dame's library rank in the nation?
q_180,What caused many intellectual Catholics to leave europe in the 1930s?
q_181,From where did Anton-Hermann Chroust come to reach Notre Dame?
q_182,What field of study did Anton-Hermann Chroust specialize in?
q_183,Who did Waldemar Gurian receive his tutelage under while seeking his doctorate?
q_184,What was Ivan Meštrović known for being?
q_185,"The school known as Notre Dame is known by a more lengthy name, what is it?"
q_186,What type of institution is the Notre Dame?
q_187,The French words Notre Dame du Lac translate to what in English?
q_188,Who is the patron saint of Notre Dame?
q_189,How large is Notre Dame in acres?
q_190,What caused Notre Dame to become notable in the early 20th century?
q_191,Which 20th century Notre Dame football coach is most notable?
q_192,Which athletic association are the student athletes at Notre Dame a part of?
q_193,How many students at Notre Dame received the Heisman Trophy?
q_194,"There were multiple students from Notre Dame who entered the Pro Football Hall of Fame, how many?"
q_195,Where among US universities does Notre Dame rank?
q_196,How many individual colleges are part of Notre Dame?
q_197,Which prize does the Architecture School at Notre Dame give out?
q_198,How many doctorate and masters programs are available at Notre Dame?
q_199,Which art museum does Notre Dame administer?
q_200,In what year was Father Edward Sorin given two years to create a college?
q_201,Which individual offered land to Father Edward Sorin?
q_202,Which church was Father Edward Sorin representing?
q_203,On what date did brothers from Holy Cross arrive at the future location of Notre Dame?
q_204,Which structure was the first used for the purposes of the college?
q_205,In what year did the initial degrees get handed out at Notre Dame?
q_206,In what year did the original Sorin built Main Building get replaced?
q_207,Which individual began a library at Notre Dame?
q_208,"In what year had the library at Notre Dame reach 10,000 books?"
q_209,In what year was the library at Notre Dame started?
q_210,Which television station finds its home at Notre Dame?
q_211,How many programs did NDtv feature in 2002?
q_212,Which radio station provides radio to the students of Notre Dame at 88.9 FM?
q_213,Which internet radio station of Notre Dame is served as an internet stream?
q_214,How much is Eddy Street Commons at Notre Dame expected to cost?
q_215,When was ground broke on the Eddy Street Commons Project of Notre Dame?
q_216,Who is the developer of Eddy Street Commons?
q_217,Which entity did Notre Dame hire to build a parking structure outside of Eddy Street Commons?
q_218,"There were protested as a part of the construction at Eddy Street Commons, they came due tot he hiring of whom?"
q_219,What does the acronym NCAA stand for?
q_220,Which league did Notre Dame Fighting Irish teams participate in in 1982?
q_221,What when conference do the Notre Dame fencing teams take part in?
q_222,"There is a conference that the male hockey team of Notre Dame competes in, what is it?"
q_223,In what conference did the Fighting Irish take part in in 2012?
q_224,To what conference did the Fighting Irish go after the Big East?
q_225,How many teams in each season do the Fighting Irish commit to play against ACC opponents?
q_226,"Where did the Fighting Irish hockey team compete prior to a move to Hockey East, in terms of conference?"
q_227,What colors are the official ones used by Notre Dame in sport competition?
q_228,What type of mascot do the Notre Dame sport teams have?
q_229,Who currently provides uniforms to Notre Dame sport teams?
q_230,What is the value of the contract between Under Armour and Notre Dame?
q_231,When did the Notre Dame marching band form?
q_232,What is notable about the Notre Dame marching band?
q_233,What is the Notre Dame fight song?
q_234,Which team did Notre Dame's football team find inspiration from?
q_235,In what year did Notre Dame football begin?
q_236,What university is Notre Dame tied with in terms of most Heisman Trophy winners?
q_237,Against which team does Notre Dame compete for the Jeweled Shillelagh?
q_238,In terms of Notre Dame students in the College Football Hall of Fame the amount of students named is what ?
q_239,What notable football player played at Notre Dame from 1916 to 1920?
q_240,"Against which opponent did Knute Rockne tell his team to ""win one for the Gipper?"""
q_241,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?"""
q_242,"Ronald Reagan played the role of whom in 1940's ""Knute Rockne?"""
q_243,How many seats are in Notre Dame Stadium?
q_244,What is displayed at Zahm House for football home games at Notre Dame?
q_245,What occurs at midnight preceding a football home game at Notre Dame?
q_246,From where does the Band of the Fighting Irish lead a march to the Notre Dame Stadium for football home games?
q_247,What songs does the trumpet section of the Band of the Fighting Irish play preceding home football games?
q_248,On what day do Notre Dame home football games occur?
q_249,How many wins does the Notre Dame men's basketball team have?
q_250,How many schools have a similar men's basketball record to Notre Dame in terms of wins?
q_251,How many NCAA tournaments did the Notre Dame men's basketball team take part in?
q_252,Which Notre Dame men's basketball player has the record for more points in one game?
q_253,Who was the Notre Dame men's basketball coach in 2014?
q_254,Who wrote the original lyrics to the Notre Dame Victory March?
q_255,In what year did Michael J. Shea graduate from Notre Dame?
q_256,"Who is responsible for writing the music for ""Notre Dame Victory March?"""
q_257,"In what year did ""Notre Dame Victory March"" get copyrighted?"
q_258,"To where are the loyal sons in ""Notre Dame Fight Song"" marching?"
q_259,"Ronald Reagan had a nickname, what was it?"
q_260,"In what film did a parody of the ""Win one for the Gipper"" speech appear?"
q_261,Who starred as Daniel Ruettiger in the film Rudy?
q_262,Which person was a former comrade to Ted Striker in the film Airplane!?
q_263,Pat O'Brien portrayed which person in the film Knute Rockne?
q_264,Which Secretary of State attended Notre Dame?
q_265,Which Notre Dame alum from the College of Science won a Nobel Prize?
q_266,Who is the current president of Notre Dame?
q_267,Mariel Zagunis is notable for winning what?
q_268,Which notable astronaut is known to have attended Notre Dame?
q_269,When did Beyonce start becoming popular?
q_270,What areas did Beyonce compete in when she was growing up?
q_271,When did Beyonce leave Destiny's Child and become a solo singer?
q_272,In what city and state did Beyonce grow up?
q_273,In which decade did Beyonce become famous?
q_274,In what R&B group was she the lead singer?
q_275,What album made her a worldwide known artist?
q_276,Who managed the Destiny's Child group?
q_277,In what city did Beyonce grow up?
q_278,What was the name of Beyonce's first solo album?
q_279,On what date was Beyonce born?
q_280,What is Beyonce's full name?
q_281,When did Beyoncé rise to fame?
q_282,What role did Beyoncé have in Destiny's Child?
q_283,What was the first album Beyoncé released as a solo artist?
q_284,When did Beyoncé release Dangerously in Love?
q_285,How many Grammy awards did Beyoncé win for her first solo album?
q_286,What was Beyoncé's role in Destiny's Child?
q_287,What was the name of Beyoncé's first solo album?
q_288,When did Beyoncé release her first solo album?
q_289,"After her second solo album, what other entertainment venture did Beyonce explore?"
q_290,Which artist did Beyonce marry?
q_291,"To set the record for Grammys, how many did Beyonce win?"
q_292,For what movie did Beyonce receive her first Golden Globe nomination?
q_293,When did Beyonce take a hiatus in her career and take control of her management?
q_294,Which album was darker in tone from her previous work?
q_295,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?"
q_296,When did Destiny's Child end their group act?
q_297,What was the name of Beyoncé's second solo album?
q_298,"What was Beyoncé's first acting job, in 2006?"
q_299,Who is Beyoncé married to?
q_300,What is the name of Beyoncé's alter-ego?
q_301,"In her music, what are some recurring elements in them?"
q_302,Time magazine named her one of the most 100 what people of the century?
q_303,Which magazine declared her the most dominant woman musician?
q_304,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?
q_305,What magazine rated Beyonce as the most powerful female musician in 2015?
q_306,How did Beyonce describe herself as a feminist?
q_307,In which years did Time rate Beyonce in the 100 most influential people in the world?
q_308,How many records has Beyonce sold in her 19 year career?
q_309,How many records did Beyoncé sell as part of Destiny's Child?
q_310,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?"
q_311,How many Grammy awards has Beyoncé won?
q_312,What magazine named Beyoncé as the most powerful female musician for 2015?
q_313,Beyonce's younger sibling also sang with her in what band?
q_314,Where did Beyonce get her name from?
q_315,What race was Beyonce's father?
q_316,Beyonce's childhood home believed in what religion?
q_317,Beyonce's father worked as a sales manager for what company?
q_318,Beyonce's mother worked in what industry?
q_319,What younger sister of Beyonce also appeared in Destiny's Child?
q_320,Beyonce is a descendent of what Arcadian leader?
q_321,What company did Beyoncé's father work for when she was a child?
q_322,What did Beyoncé's mother own when Beyoncé was a child?
q_323,What is the name of Beyoncé's younger sister?
q_324,Beyoncé is a descendant of which Acadian leader?
q_325,Beyoncé was raised in what religion?
q_326,What town did Beyonce go to school in?
q_327,Who was the first person to notice Beyonce's singing ability?
q_328,Beyonce moved to which town after she left her first elementary school?
q_329,Which of her teachers discovered Beyonce's musical talent?
q_330,I which church was Beyonce a member and soloist in the choir?
q_331,What type of school was Parker Elementary School?
q_332,Which song did Beyonce sing to win a competition at age 7?
q_333,What city was Beyoncé's elementary school located in?
q_334,What was the name of Beyoncé's first dance instructor?
q_335,How old was Beyoncé when she won a school talent show?
q_336,What choir did Beyoncé sing in for two years?
q_337,Who decided to place Beyonce's group in Star Search the talent show?
q_338,"In 1995, who decided to manage the girls singing group?"
q_339,Who was the first record label to give the girls a record deal?
q_340,Who brought Beyonce to California and enter her group in Star Search?
q_341,In what year did Beyonce's father quit his job to manage her group?
q_342,What large record company recorded Beyonce's group's first album?
q_343,What record company first signed Beyonce's group and later cut them?
q_344,At what age did Beyonce meet LaTavia Robertson?
q_345,How old was Beyoncé when she met LaTavia Roberson?
q_346,What was the name of the first group Beyoncé was a part of?
q_347,Who placed Girl's Tyme in Star Search?
q_348,When did Beyoncé begin to manage the girl group?
q_349,"Who signed the girl group on October 5, 1995?"
q_350,Which film featured Destiny's Child's first major single?
q_351,"For which song, did Destiny's Child take home the grammy award for best R&B performance?"
q_352,"Who did Beyonce record with for the movie ""The Best Man?"""
q_353,Beyonce's group changed their name to Destiny's Child in what year?
q_354,The name Destiny's Child was based on a quote in which book of the Bible?
q_355,"Debut song, ""Killing Time"" was featured on what movie's sound track?"
q_356,What song won Best R&B Performance in the 43 Annual Grammy Awards?
q_357,"What singer did Beyonce record a song with for the movie, ''The Best Man""?"
q_358,Where did Destiny's Child get their name from?
q_359,"Destiny's Child song, Killing Time, was included in which film's soundtrack?"
q_360,What was Destiny's Child's first major song hit?
q_361,When did Destiny's Child release their second album?
q_362,"Who did Beyoncé sing a duet with for ""The Best Man"" film?"
q_363,What mental health issue did Beyonce go through?
q_364,What event occured after she was publicly criticized?
q_365,Who supported Beyonce through her depression?
q_366,What event caused Beyonce's depression?
q_367,How long was Beyonce depressed?
q_368,Who helped Beyonce fight her depression the most?
q_369,Who replaced Luckett and Roberson in Destiny's Child?
q_370,Who was blamed for Luckett and Roberson leaving Destiny's Child?
q_371,Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?
q_372,Which newest member was removed from Destiny's Child?
q_373,"""Charlie's Angels"" featured which single from the band members?"
q_374,"How many weeks did their single ""Independent Women Part I"" stay on top?"
q_375,"For what network, did Beyonce land a major movie role in?"
q_376,"Their third album, Survivor, sold how many during its first week?"
q_377,What French composer wrote the original opera ''Carmen'' in the 19th century?
q_378,What album caused a lawsuit to be filed in 2001?
q_379,Independent Women Part I was on which 2000 film's soundtrack?
q_380,Which film did Beyoncé star in 2001 with Mekhi Phifer?
q_381,What was the name of Destiny Child's third album?
q_382,Who filed a lawsuit over Survivor?
q_383,When did Destiny's Child announce their hiatus?
q_384,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?"
q_385,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?"
q_386,Beyonce starred with Cuba Gooding Jr. in which film?
q_387,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?"
q_388,Which other song from the soundtrack did better in the charts?
q_389,What film did Beyonce appear in with Mike Myers?
q_390,"What large amount did the movie ""Goldmember"" gross?"
q_391,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?"
q_392,What song was the lead single from the film's sound track?
q_393,"How did the critics view the movie, ''The Fighting Temptations''?"
q_394,What film did Beyoncé star in with Mike Myers in 2002?
q_395,What was Beyoncé's character called in Austin Powers in Goldmember?
q_396,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?
q_397,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?"
q_398,What song did Beyoncé release as the lead single from The Fighting Tempations?
q_399,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?
q_400,Beyonce's first album by herself was called what?
q_401,"How many has ""Dangerously in Love"" sould worldwide since its debut?"
q_402,Beyonce's first number one song was which song?
q_403,How many top five singles came from her first album?
q_404,Beyonce's first solo album in the U.S. with what artist in the lead single?
q_405,What solo album did Beyonce release in 2003?
q_406,"The album, Dangerously in Love achieved what spot on the Billboard Top 100 chart?"
q_407,"""The Closer I get to You"" was recorded with which artist?"
q_408,Which artist was associated with Beyoncé's premiere solo recording?
q_409,When did Beyoncé release her first solo album?
q_410,What is the lead single on Beyoncé's first album?
q_411,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?
q_412,How many awards did Beyoncé win at the 46th Grammy's Awards?
q_413,Destiny's Child's final album was named what?
q_414,Destiny's Child got a star on the Hollywood Walk of Fame in what year?
q_415,In what year did Beyonce embark on her Dangerously in Love tour of Europe?
q_416,What was the name of the final album of Destiny's Child?
q_417,It was announced that Destiny's Child would disban in what European city?
q_418,When did Destiny's Child get their star on the Hollywood Walk of Fame?
q_419,What was the name of Beyoncé's European start that started in November 2003?
q_420,Who did Beyoncé tour with for the Verizon Lades First Tour?
q_421,"What major event did Beyoncé perform at on February 1, 2004?"
q_422,What is the name of the final studio album from Destiny's Child?
q_423,How many albums did Beyonce sell in the first week when she released her second album?
q_424,The lead single from the album was which song?
q_425,"How many countries did her song ""Irreplaceable"" get number one status in?"
q_426,How many singles did her second album produce?
q_427,What birthday did Beyonce's album B'Day celebrate?
q_428,"What artist did Beyonce duet with in the single, ""Deja Vu''?"
q_429,How high did ''Deja Vu'' climb on the Billboard chart?
q_430,What is the name of Beyoncé's second album?
q_431,How many copies did B'Day sell during the first week of its release?
q_432,"Who collaborated with Beyoncé on the single, Deja Vu?"
q_433,Which single from B'Day was only released in the U.K.?
q_434,What movie did Beyonce act in 2006?
q_435,Her second movie Beyonce did was what film?
q_436,"The single, ""Listen"" was featured in which movie?"
q_437,Beyonce's first world tour was when?
q_438,How much money did Beyonce's tour make in 2007?
q_439,How many millions of dollars did ''The Pink Panther'' gross world-wide?
q_440,What did Beyonce call her first concert tour?
q_441,Who was Beyonce's duet with in ''Beautiful Liar''?
q_442,Which film did Beyoncé star with Steve Martin in?
q_443,Beyoncé's role in Dreamgirls was based on what pop singer?
q_444,What was the lead single for the Dreamgirls soundtrack?
q_445,What was the name of Beyoncé's first international tour?
q_446,What pop singer did a duet with Beyoncé on Beautiful Liar?
q_447,Beyonce got married in 2008 to whom?
q_448,"Her third album, ""I am...Sasha Fierce"" was released when?"
q_449,"For which decade, did Beyonce have more top ten songs than any other woman?"
q_450,Which singer beat out Beyonce for best video performance?
q_451,"In 2009, Beyonce started her second world tour and grossed how much money?"
q_452,How did she reveal the marriage?
q_453,When did Beyonce begin her second world tour?
q_454,Who beat out Beyonce for Best Female Video ?
q_455,How much did the second world tour make in dollars?
q_456,When did Beyoncé get married?
q_457,Who did Beyoncé marry?
q_458,Who is Beyoncé's alter ego?
q_459,The video for what song won Beyoncé the 2009 MTV Video of the Year award?
q_460,Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?
q_461,"Beyonce portrayed which character in the film, Cadillac Records?"
q_462,Beyonce gave her entire salary from Cadillac Records to which organization?
q_463,Which song did Beyonce sing at the first couple's inaugural ball?
q_464,"What genre of film was the movie, Obsessed, in which Beyonce starred in?"
q_465,"A fight scene from the movie, Obsessed, won which award for Beyonce?"
q_466,Where did Beyonce donate her salary from the movie Cadillac Records?
q_467,What thriller film did Beyonce star in?
q_468,What was the name of the woman she played in Obsessed?
q_469,How much more that the buget did the film gross?
q_470,Which singer did Beyoncé portray in Cadillac Records?
q_471,Which organization received Beyoncé's entire Cadillac Records salary?
q_472,"Where did Beyoncé perform on January 20, 2009?"
