qid,question
q_473,Which thriller film did Beyoncé star in with Ali Larter?
q_474,How many awards was Beyonce nominated for at the 52nd Grammy Awards?
q_475,Beyonce tied with which artist for most nominations by a female artist?
q_476,"In 2010, Beyonce worked with which other famous singer?"
q_477,"How many number one singles did Beyonce now have after the song ""Telephone""?"
q_478,Beyonce tied who for most number one singles by a female?
q_479,Beyonce received how many nominations at the 52nd Annual Grammy Awards?
q_480,What song was the sixth first place song for Beyonce?
q_481,Who else appeared with Beyonce in Telephone?
q_482,Who did they tie with for six top songs?
q_483,Who did Beyonce tie with for the most nominations in a year?
q_484,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?
q_485,Who did Beyoncé tie with for the most Grammy nominations for female artists?
q_486,"Beyoncé was a featured artist on which singer's hit, Telephone?"
q_487,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?
q_488,Beyonce would take a break from music in which year?
q_489,Which year did Beyonce and her father part business ways?
q_490,Which famous landmark did Beyonce see in China?
q_491,In what year did Beyonce have her hiatus?
q_492,Who inspired this hiatus?
q_493,When did she stop using her father as a manager?
q_494,How long did the hiatus last?
q_495,What did Beyoncé announce in January 2010?
q_496,Who suggested the hiatus for Beyoncé?
q_497,Who did Beyoncé part ways with during her hiatus?
q_498,How long did her hiatus last?
q_499,In which year was reports about Beyonce performing for Muammar Gaddafi surface?
q_500,Who did Beyonce donate the money to earned from her shows?
q_501,Beyonce became the first female artist to perform solo in 20 years at which stage?
q_502,Which organization did Beyonce's spokespeople confirm her donations to?
q_503,Beyonce was listed in 2011 as the highest paid performer per what?
q_504,Hoe did everyone learn that Beyonce performed for Kaddafi?
q_505,When did this leak happen?
q_506,Who did she tell about the donation?
q_507,Where did Beyonce perform in 2011?
q_508,Who did Beyoncé perform privately for in 2011?
q_509,Who released the information about Beyoncé's performance for the Libyan ruler?
q_510,Which organization did Beyoncé donate her pay for the private performance to?
q_511,Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?
q_512,Beyonce's fourth album debuted in what year?
q_513,Which single had the most success from that album?
q_514,Beyonce won an award for which activity in 2011?
q_515,"in 2011, Beyonce performed for four nights where?"
q_516,When was Beyonce's forth album released?
q_517,How many copies did the album sell in its first week?
q_518,Who awarded Beyonce and award for writing?
q_519,When did she perform at the Roseland ballroom?
q_520,What is the name of Beyoncé's fourth studio album?
q_521,When was 4 released?
q_522,How many copies of 4 sold in the first week?
q_523,What magazine did Beyoncé write a story for about her earlier hiatus?
q_524,Where did Beyoncé perform for four nights of standing room only concerts in 2011?
q_525,When did Beyonce have her first child?
q_526,Where did Beyonce give birth to her first child?
q_527,Beyonce's first child is named what?
q_528,Her first appearance performing since giving birth was where?
q_529,When did Beyonce have her first child?
q_530,What was the child's name?
q_531,How long was it after the birth of her child before she performed again?
q_532,How many nights did she perform at Atlantic City?
q_533,When did Beyoncé give birth to a daughter?
q_534,What did Beyoncé name her daughter?
q_535,Where was Blue Ivy born?
q_536,Where was Beyoncé's first public performance after giving birth?
q_537,How many nights did Beyoncé play at the resort?
q_538,Destiny's Child released a compilation album about which topic?
q_539,Beyonce's documentary movie was called what?
q_540,What did Beyonce sign in 2013?
q_541,"When did Destiny's Child release its album ""Love Songs""?"
q_542,What was the title of the added track in Love Songs?
q_543,At whose inauguration did she perform the National Anthem?
q_544,How many Tweets per minute did the half time show get?
q_545,When did Destiny's Child release Love Songs?
q_546,What was the new track for Love Songs?
q_547,What did Beyoncé sing at President Obama's second inauguration?
q_548,What event did Beyoncé perform at one month after Obama's inauguration?
q_549,What is the name of Beyoncé's documentary film?
q_550,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?"
q_551,One of Beyonce's most successful tours yet was which one?
q_552,"Beyonce wrote which song for the movie ""Epic""?"
q_553,Beyonce voiced a character in which animated film?
q_554,When did the tour begin?
q_555,Of what event was Beyonce honorary chair?
q_556,What part did she voice for the movie Epic?
q_557,What song did Beyonce record for the film Epic?
q_558,What was the name of Beyoncé's tour that she started on April 15?
q_559,How many dates did the Mrs. Carter Show World Tour have?
q_560,Which Amy Winehouse song did Beyoncé cover and release in May 2014?
q_561,Beyoncé was an honorary chair of the 2013 what?
q_562,"Which character in the film, Epic, was voiced by Beyoncé?"
q_563,Where did Beyonce release her 5th album to a huge surprise?
q_564,When did Beyonce get her fifth consecutive number one hit album?
q_565,Where was the album released?
q_566,Who joined Beyonce on her On The Run Tour?
q_567,Who reported Beyonce to e the top earning woman in music?
q_568,How much more were her earnings that the year before?
q_569,When did Beyoncé release her fifth studio album?
q_570,How many digital copies of her fifth album did Beyoncé sell in six days?
q_571,What song on Beyoncé's fifth studio album featured her husband?
q_572,What was the name of the tour featuring both Beyoncé and Jay Z?
q_573,How many awards did Beyonce take home with her at the 57th Grammy Awards?
q_574,Which artist beat Beyonce out for Album of the year?
q_575,Which magazine did Beyonce pose on the cover for in August of 2015?
q_576,Beyonce would perform with who at Superbowl 50?
q_577,Beyonce took home how many awards at the 57th Grammy Awards?
q_578,Beyonce lost to which artist for Album of the year?
q_579,Who did Beyonce perform next to during Superbowl 50?
q_580,"If Beyonce won three Grammies in 2015, how many was she nominated for?"
q_581,On what magazine was she the cover model?
q_582,Who would she perform with at Superbowl 50?
q_583,With what British band did Beyonce perform on their album?
q_584,How many awards was Beyoncé nominated for at the 57th annual Grammys?
q_585,How many awards did Beyoncé win at the 57th Annual Grammys?
q_586,Beyoncé lost the Album of the Year award to which entertainer?
q_587,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?"
q_588,Who did Beyonce perform with at Super Bowl 50?
q_589,"Beyonce released the song ""Formation"" on which online music service?"
q_590,Beyonce's new single released before the super bowl was called what?
q_591,"What day did Beyonce release her single, Formation?"
q_592,How was the single released?
q_593,What was the name of the streaming service?
q_594,What kind of platform was the song released?
q_595,When did Beyoncé release Formation?
q_596,"Where did Beyoncé exclusively release her single, Formation?"
q_597,"As of April 2014, how many albums have Jay Z and Beyonce sold together?"
q_598,Where did Beyonce become pregnant?
q_599,"Beyonce described what as the ""hardest thing she had to endure""?"
q_600,Who did Beyonce have a relationship with?
q_601,When were Beyonce and Jay Z married?
q_602,Together how records have they sold ?
q_603,How did Beyonce deal with the miscarriage of her child?
q_604,Where was Beyonce when she became pregnant?
q_605,"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?"
q_606,When were Beyoncé and Jay Z married?
q_607,How many records combined have Beyoncé and Jay Z sold?
q_608,What did Beyoncé describe as the saddest thing in her life?
q_609,Where did Beyoncé get pregnant?
q_610,Jay Z and Beyonce attended which event together in August of 2011?
q_611,Beyonce confirmed what after performing one of her songs?
q_612,How many people watched the 2011 MTV Music Awards?
q_613,Where did she announce her pregnancy?
q_614,Why was the broadcast the most-watched in history?
q_615,What even was recorded in the Guinness World Records?
q_616,"What was the most searched term in week of Aug 29, 2011?"
q_617,What song did she perform at the MTV Awards?
q_618,Where did Beyoncé announce her pregnancy?
q_619,What song did Beyoncé sing prior to announcing her pregnancy?
q_620,How many people watched the 2011 MTV Video Music Awards?
q_621,"What was the most searched term on Google for the week of August 29, 2011?"
q_622,Jay Z has a website called what?
q_623,Which song by Jay Z talked about the pregnancy struggles?
q_624,What was the name of Beyonce's daughter?
q_625,At what hospital was the baby delivered?
q_626,What was the named of the song dedicated to the child?
q_627,What does B.I.C. stand for?
q_628,Who was credited for her cries on the song?
q_629,When did Beyoncé give birth to her daughter?
q_630,What did Beyoncé and Jay Z name their daughter?
q_631,What song did Jay Z release two days after Blue Ivy was born?
q_632,What is included at the end of Glory?
q_633,How was Blue Ivy credited on Glory?
q_634,Beyonce and Jay-Z went to a rally for the acquittal of whom?
q_635,Beyonce sang which song during the 2009 presidential inauguration?
q_636,How much did Beyonce raise for Obama at the 40/40 Club?
q_637,"What did she endorse on March 26, 2013?"
q_638,What did they attend in July 2013?
q_639,What did she sing at the 2009 Presidential Inauguration?
q_640,What song did Beyoncé perform at the 2009 inauguration of Obama?
q_641,What song did Beyoncé perform at the first inaugural dance for the Obamas.
q_642,What social media platform did Beyoncé upload a picture of her paper ballot on?
q_643,"When did Beyoncé endorse on March 26, 2013?"
q_644,Beyonce did an interview with which magazine and was asked about feminism?
q_645,Beyonce supported which campaign that encourages leadership in girls?
q_646,Where was Beyonce quoted as saying that she is a modern-day feminist?
q_647,When did she say the she is a feminist?
q_648,What campaign did she contribute to?
q_649,What song did she release in 2013 in response to a speech?
q_650,What does Ban Bossy encourage?
q_651,"Beyoncé used words from which Nigerian author in her song, Flawless?"
q_652,Which campaign does Beyoncé contribute to that encourages leadership in females?
q_653,Beyonce signed a letter with who in 2015?
q_654,An important UN summit took place when?
q_655,The letter Beyonce signed focused on what issue?
q_656,What had to be set in developing funding?
q_657,When did Beyonce sign a letter for ONE Campaign?
q_658,To whom was the letter addressed?
q_659,Who are these women?
q_660,When will they meet?
q_661,Who did Beyoncé sign a letter for in 2015?
q_662,Who was the letter addressed to?
q_663,What was Angela Merkel serving as in relation to the letter?
q_664,What did the letter want the two recipients to focus on?
q_665,Beyonce along with Jay Z met with whom's family after their death?
q_666,Beyonce with Jay Z gave lots of money to bail who out of prison?
q_667,Who's death caused this protest?
q_668,How much bail money did they spend?
q_669,Beyonce beat out which musical artists for most paid between June 2007 and June 2008?
q_670,Beyonce and Jay Z got a Guinness World record for what in 2009?
q_671,Beyonce became the highest-paid black musician in which year?
q_672,"Up until May of 2015, how much is Beyonce's total worth?"
q_673,"Between 2008 and 2009, which entertainers did Beyonce beat in earnings?"
q_674,In 2012 who placed Beyonce at 16 in the Celebrity List?
q_675,When did she and Jay Z become the highest paid black celebrity couple?
q_676,How much did she earn in 2014?
q_677,What is Beyonce's net worth in 2015?
q_678,"Who began reporting Beyoncé's annual earnings, starting in 2008?"
q_679,"When did Beyoncé become the highest paid black musician, ever?"
q_680,Who predicted that Beyoncé would become the highest paid black entertainer?
q_681,When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?
q_682,Beyonce's range in singing is how many octaves?
q_683,who talked about Beyonce's tone and timbre as distinctive?
q_684,"Which critic called Beyonce's voice ""versatile""?"
q_685,Which era was credited to have influenced Beyonce's singing style by Jody Rosen?
q_686,How many octaves does Beyonce have?
q_687,What did the Daily Mail say about Beyonce's voice?
q_688,What does Rosen claim influenced Beyonce's style?
q_689,What do other critics claim?
q_690,How many octaves does Beyoncé's voice span?
q_691,Why is Beyoncé known as the centerpiece of Destiny's Child?
q_692,New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?
q_693,What does Jody Rosen say influenced Beyoncé's vocal style?
q_694,Music from Beyonce is generally categorized as what genre?
q_695,"Besides R&B, which genres does Beyonce dabble in?"
q_696,"Beyonce mostly releases English songs, but what other language did she release songs?"
q_697,Spanish songs Beyonce released were for what?
q_698,Beyonce was coached for her Spanish songs by which American?
q_699,What kind of music does Beyonce do?
q_700,What language does she mainly sing?
q_701,What other language has she sung?
q_702,What album did she re-release in Spanish?
q_703,What style of music does Beyoncé usually perform?
q_704,What language did Beyoncé release several songs in?
q_705,Who coached Beyoncé for her Spanish recordings?
q_706,What album did the Spanish songs come from?
q_707,Beyonce does not create which aspect of her music?
q_708,An example of a song aimed towards a male audience is what?
q_709,What theme was Beyonce's early music?
q_710,With Jay Z what were her new themes?
q_711,What does she get credits for in her music?
q_712,What part of production does she do?
q_713,Beyoncé's early recordings empowered who?
q_714,"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?"
q_715,"Rather than beats, what two things does Beyoncé usually come up with for producers?"
q_716,Pop Songwriter of the Year award in 2001 was awarded to whom?
q_717,Beyonce received the Pop Songwriter of the Year award at which event?
q_718,Beyonce has the same number of writing credits on number one singles as whom?
q_719,Beyonce joined 2 other women on what list from Billboard magazine in 2011?
q_720,When did Beyonce become the first African American woman to win Pop songwriter of the year?
q_721,What place is she tied for in songwriting credits?
q_722,Who listed her at number 17 in their list of Top 20 hot 100 Songwriters?
q_723,Where does she place in writing credits for three number one songs?
q_724,"What did Beyoncé win in 2001, making her the first black woman to do so?"
q_725,Who gave Beyoncé the Pop Songwriter of the Year award in 2001?
q_726,"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list."
q_727,What number was Beyoncé on the Top 20 Hot 100 Songwriters list?
q_728,To whom did Beyonce credit as her major influence on her music?
q_729,How old was Beyonce when she went to her first Michael Jackson concert as a kid?
q_730,Beyonce gave a tribute award to who in 2006?
q_731,Beyonce cites Mariah Carey to making her want to start doing what?
q_732,Who influenced Beyonce?
q_733,What song by Mariah Carey influenced her?
q_734,Who is Beyoncé's biggest musical influence?
q_735,What was Beyoncé's first concert?
q_736,Who does Beyoncé feel is an all-around entertainer?
q_737,"Who does she credit for the inspiration to ""get up there and do what she did""?"
q_738,What song caused Beyoncé to practice runs as a child?
q_739,What themes were influenced by her acting role in Dreamgirls?
q_740,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?"
q_741,Who motivated Beyonce to explore other areas of music?
q_742,What movie influenced Beyonce towards empowerment themes?
q_743,How did Etta James influence her?
q_744,Where did she perform wearing Baker's hula skirt?
q_745,What singer inspired Beyoncé's B'Day album?
q_746,What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?
q_747,"Beyonce has noted which first lady with saying ""She proves you can do it all""?"
q_748,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?
q_749,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?"
q_750,Who personally influences Beyonce?
q_751,Hoe does she describe Oprah Winfrey?
q_752,How does she describe Jean- Michel Basquiat?
q_753,How does Madonna influence her?
q_754,How does she describe Jay Z?
q_755,"Who inspires Beyoncé because ""she does it all?"""
q_756,Who does Beyoncé describe as the definition of inspiration?
q_757,Who does Beyoncé describe as lyrical and raw?
q_758,Who inspired Beyoncé to take control of her career?
q_759,Beyonce had an all-female tour band whose name was what?
q_760,Beyonce had singers in the background known by the name as?
q_761,The Mamas members included which 3 musicians?
q_762,The Mamas first appearance was when?
q_763,What band did Beyonce introduce in 2006?
q_764,What song name does the band Suga Mama and a song on the B'Day album share?
q_765,Where did Suga Mama band make their first appearance?
q_766,What band supports Beyonce in her tours?
q_767,What is the name of Beyoncé's female tour band?
q_768,Suga Mama is also a song on which Beyoncé album?
q_769,What are Beyoncé's backup singers called?
q_770,When did The Mamas make their debut?
q_771,What characteristics has Beyonce received acclaim for?
q_772,Which former president of Def Jam called Beyonce the greatest entertainer alive?
q_773,For what does Beyonce receive praise?
q_774,Who chose her as number one on his list of Best singers/ Dancers?
q_775,How has L.A. Reid described her?
q_776,How does Alice Jones describe her?
q_777,Who has Beyoncé at number one on her Five Best Singer/Dancers?
q_778,Who has said that Beyoncé is the best entertainer alive?
q_779,Beyonce self proclaimed alter ego is named what?
q_780,Her alter ego was born when according to Beyonce?
q_781,What year did Beyonce do away with Sasha Fierce?
q_782,Beyonce brought back Sasha Fierce during which event?
q_783,How does she describe Sasha?
q_784,Later what did she say about Sasha?
q_785,What is the name of Beyoncé's alter ego?
q_786,When did Beyoncé introduce Sasha Fierce?
q_787,Sasha Fierce was created during the making of what song?
q_788,Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?
q_789,Beyonce's sex appeal is characterized as what?
q_790,"Which music journalist described Beyonce as a ""crossover sex symbol?"""
q_791,Which word spawned from a term used to describe Beyonce in 2006?
q_792,Bootylicious was a song from which act that Beyonce performed with?
q_793,Oxford Dictionary added which word from the 2000s dedicated to Beyonce?
q_794,What word is often used to describe Beyonce/
q_795,When was the term added to the dictionary?
q_796,"What journalist wrote that Beyoncé was a ""sex symbol""?"
q_797,"Because of Beyoncé's physical shape, what slang term has been used to describe her?"
q_798,In what year was the slang term from a title of a Destiny's Child song that is also used to describe Beyoncé put in the dictionary?
q_799,How does Beyoncé say she likes to dress off-stage?
q_800,"in September 2010, what career area did Beyonce start exploring?"
q_801,Beyonce's first modelling event was at where?
q_802,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?"
q_803,Which month and year did GQ feature Beyonce on its cover?
q_804,What TV network listed Beyonce as number 1 on its 100 Sexiest Artists list?
q_805,Who called Beyonce the World's most Beautiful Woman?
q_806,Who called her Hottest Female Singer of all Time?
q_807,When did she appear on the cover of GQ?
q_808,VH1 listed her at what number on their 100 Sexiest Artists list?
q_809,What year did Beyoncé first model for Tom Ford?
q_810,"What magazine said Beyoncé was the ""World's Most Beautiful Woman""?"
q_811,What title did Complex award Beyoncé?
q_812,What museum has made several models of Beyoncé in wax?
q_813,Which parent of Beyonce's help co-write a book?
q_814,Which African-American woman before Beyonce had posed for SI Swimsuit issue?
q_815,What was the title of Beyonce's mother's book?
q_816,When was she on the Sports Illustrated cover?
q_817,Who was she the second African American on the cover after?
q_818,"Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?"
q_819,"What magazine said Beyoncé was the ""best-dressed celebrity""?"
q_820,Beyonce has a fan base that is referred to as what?
q_821,"Before the Bey Hive, fans of Beyonce were called what?"
q_822,Which social media company proclaimed Beyonce fans are know as the Bey Hive?
q_823,What is Beyonce's fan base called?
q_824,What did the fans used to be called?
q_825,What is the latest term used to describe Beyoncé fans?
q_826,What was the former word given to Beyoncé fans?
q_827,"What word does ""Bey Hive"" derive from?"
q_828,Beyonce has a clothing line known as what?
q_829,Which French magazine did Beyonce show up on the cover of?
q_830,Beyonce was seen wearing what on the french magazine that caused controversy?
q_831,Which year did PETA spark controversy with Beyonce?
q_832,What did PETA criticize Beyonce for in 2006?
q_833,What French Magazine cover did the media criticize?
q_834,How was she dressed on the cover of L'Officiel?
q_835,What French magazine did Beyoncé appear in wearing blackface and tribal makeup?
q_836,What clothing line of Beyoncé drew PETA criticism?
q_837,What type of magazine is L'Officiel?
q_838,Which racial community gave criticism to Beyonce?
q_839,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?
q_840,Which company was accused of coloring Beyonce's hair?
q_841,What did Vogue request?
q_842,How did L'Oreal respond to accusations of changing pictures?
q_843,"In addition to her light skin color, what else has made part of the African American community criticize Beyoncé?"
q_844,"In 2007, which music professor said he believes this criticism does involve race as well?"
q_845,Who was accused of lightening Beyoncé's skin for an advertisement?
q_846,What advertisement was Beyoncé's skin supposedly lightened in?
q_847,Who did Beyoncé tell in 2013 to only use natural pictures of her rather than retouched images?
q_848,Artist of the Decade was bestowed upon Beyonce from which magazine?
q_849,Whats the first year that Beyonce appear on the Time 100 list?
q_850,Beyonce than appeared again on the Time 100 list in what year?
q_851,What did the Guardian name her?
q_852,When did Beyonce first make the Time 100 List?
q_853,When was she again on the Time 100 List and on the cover?
q_854,Who said that she is the reigning national voice?
q_855,Who stated that Beyoncé is the most important musician of the 21st century?
q_856,Which publication named Beyoncé the Artist of the Decade?
q_857,What list did Beyoncé make in 2013?
q_858,Who said Beyoncé is the heir-apparent diva of the United States?
q_859,What year was Beyoncé featured both on the Time 100 list as well as the cover of the issue?
q_860,Which rock band cited Beyonce on their third album?
q_861,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?"""
q_862,Nicky Minaj became a spokesperson for which brand of soda after seeing Beyonce involved with it?
q_863,What influenced Nicki Minaj to join the Pepsi global campaign?
q_864,Which band listed Beyonce as an inspiration on their latest album?
q_865,What about Beyonce has influenced many entertainers?
q_866,For what film was Paltrow studying Beyonce ?
q_867,Which Indie band said Beyoncé was an inspiration for one of hteir albums?
q_868,What was the name of the White Rabbits' album?
q_869,Who studied Beyoncé during live concerts for research for a film's music role?
q_870,What was the name of the film that Gwyneth Paltrow starred in as a musician?
q_871,Beyoncé's Pepsi commercial inspired which star to join Pepsi's global campaign in 2012?
q_872,"VH1 declared what song the ""Greatest song of the 2000s?"""
q_873,"How many Grammy awards did ""Crazy in Love"" win?"
q_874,How many did Crazy in Love sell to become one of the greatest selling singles in history?
q_875,What type of organism was named after Beyonce in 2012?
q_876,A place for Beyonce in the Rock and Roll Hall of fame was awarded when?
q_877,Which of Beyonce's songs was called Greatest Song of the 2000s?
q_878,How many Grammy awards did Crazy in Love get?
q_879,How many copies did Crazy in Love sell?
q_880,Who released the single Girls Love Beyonce?
q_881,Which publication considers Crazy in Love to be one of the top 500 songs of all time?
q_882,"Who sang ""Girls Love Beyoncé"" in 2013?"
q_883,What did Bryan Lessard name after Beyoncé?
q_884,How many copies of her albums as Beyonce sold in the US?
q_885,"Totaling worldwide, how many records as Beyonce sold?"
q_886,How many certifications was Beyonce awarded by the RIAA?
q_887,"When Beyonce was with Destiny's Child, how many albums did she manage to sell?"
q_888,Who was the first female to achieve the International Artist Award at the American Music Awards?
q_889,How many albums has Beyonce as a solo artist sold in the U.S?
q_890,How many has she sold worldwide?
q_891,How many records has she sold with Destiny's Child?
q_892,When did she receive the Legend Award?
q_893,How many music certifications has she received in the 2000s?
q_894,How many records has Beyoncé sold in the United States?
q_895,How many records has Beyoncé sold throughout the world?
q_896,Who cited Beyoncé as being the top certified artist of the 2000s?
q_897,How many certifications did RIAA give Beyoncé?
q_898,When did Beyoncé receive the Legend Award?
q_899,How many Grammys has Beyonce won total with and without Destiny's Child?
q_900,Who is the only other woman with more Grammy awards than Beyonce?
q_901,Beyonce has been awarded how many Grammy nominations?
q_902,Beyonce holds the record for how many wins in one night by a female?
q_903,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?
q_904,How many Grammies has Beyonce won?
q_905,How many Grammy nominations does Beyonce have?
q_906,When did she set the record for most Grammy awards won in one night?
q_907,Who tied her record for most Grammies won in one night in 2012?
q_908,How many Grammys has Beyoncé won?
q_909,How many Grammy nominations has Beyoncé had?
q_910,What Beyoncé song was song of the year on 2010?
q_911,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?
q_912,Which soda company has Beyonce partnered with since 2002?
q_913,Pepsi paid Beyonce how much in 2012 for her endorsement?
q_914,Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?
q_915,What percentage of people were positive about Beyonce's endorsement of Pepsi?
q_916,When did Beyonce begin doing Pepsi advetisments?
q_917,Who was in the commercial with Beyonce in 2004?
q_918,What did she agree to do for 50 million dollars in 2012?
q_919,Who sent her a letter asking that she reconsider the Pepsi deal?
q_920,What soft drink company has Beyoncé worked with since 2002?
q_921,How much did Beyoncé get for a deal with a soft drink company in 2012?
q_922,Who asked her to change her mind about the soft drink deal due to the nature of the product?
q_923,What organization discovered that the advertisements Beyoncé did for the soft drink company were 70% positive?
q_924,"Beyonce worked with who on her perfumes, True Star and True Star Gold?"
q_925,The world's best selling celebrity perfume line belongs to whom?
q_926,Beyonce's first fragrance had what name?
q_927,The Mrs. Carter Show Limited Edition was released in what year?
q_928,How much money did The Mrs. Carter Show Limited Edition fragrance make?
q_929,What was Beyonce's 2010 perfume called?
q_930,"When was her second perfume, Heat Rush, released?"
q_931,What was Beyonce's third perfume named?
q_932,How many editions of Heat have been launched?
q_933,Which Emporio Armani fragrance did Beyoncé promote in 2007?
q_934,What year did Beyoncé introduce her first fragrance?
q_935,What was Beyoncé's first fragrance called?
q_936,How many editions of Heat exist?
q_937,How young was Beyonce when she acquired deals from American Express and L'Oreal?
q_938,What was the name of the video game that was cancelled for Beyonce?
q_939,When did Beyonce begin her deals with name brands?
q_940,How many people lost jobs when Beyonce left the video game deal?
q_941,How was the suit settled?
q_942,What was the name of the video game?
q_943,What video game did Beyoncé back out of?
q_944,What company was producing the video game?
q_945,How many people lost their jobs over Beyoncé backing out of the deal?
q_946,When was the disagreement settled out of court?
q_947,Who did Bayonce's management go into business with in 2014?
q_948,"After their agreement together, Beyonce's and Topshop"" new business was called what?"
q_949,What type of clothing does Parkwood Topshop Athletic Ltd produce?
q_950,The company and products were set to be in stores when?
q_951,Who did Beyonce partner with in London?
q_952,When will the new line launch?
q_953,What is the name of Beyoncé's management company?
q_954,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?
q_955,Where is Topshop located?
q_956,What was the new division of Topshop because of the partnership?
q_957,"When was it discovered Beyonce was a co-owner of the music service, Tidal?"
q_958,The parent company of Tidal became under the ownership of whom in 2015?
q_959,When was it announced that Beyonce was a co-owner in Tidal?
q_960,What kind of service is Tidal?
q_961,What is a criticism of other streaming services?
q_962,What music streaming system is Beyoncé part owner of?
q_963,What is the parent company of the music service Beyoncé owns part of?
q_964,Who acquired the parent company of the music service Beyoncé owns part of?
q_965,What music service is accused of providing low royalty amounts?
q_966,House of Dereon became known through Beyonce and which of Beyonce's relatives?
q_967,Beyonce's grandma's name was?
q_968,Beyonce's family's company name is what?
q_969,What types of garments are sold by Beyonce's clothing line?
q_970,Which two countries can you purchase Beyonce's clothing line?
q_971,"Who partnered with Beyonce to start the clothing line, Dereon?"
q_972,When did Beyonce and her mother start Dereon?
q_973,Who was the business named for in Beyonce's family?
q_974,Where were items from the clothing line displayed?
q_975,Who shares in the House of Deréon fashion line introduction with Beyoncé?
q_976,What is the name of the House of Deréon junior collection?
q_977,What type of accessory company did Beyonce partner with in 2005?
q_978,"In 2010, Beyonce released Dereon to what country?"
q_979,Back-to-school shopping was introduced in what year of Beyonce's clothing line?
q_980,What did Beyonce's Fashion Diva feature?
q_981,What new idea did Beyonce and her mother launch in 2009?
q_982,When did Beyonce partner with C&A to sell fashion in Brazil?
q_983,What company did Beyoncé get together with in 2005 to add shoes to her fashions?
q_984,What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?
q_985,What was the name of the junior fashions launched in 2009 by Beyoncé and her mother?
q_986,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?
q_987,Sasha Fierce for Deréon fashions were sold at stores that included Macy's and what other store?
q_988,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?"
q_989,Beyonce and Topshops first products were to be sold in stores when?
q_990,What is the new business called?
q_991,What is Beyonce's percentage of ownership in the new venture?
q_992,When will the full line appear?
q_993,What company did Beyoncé contract with to sell clothing in England?
q_994,What is the name of the equal partnership's fashion line between Beyoncé and the British company to come out in 2016?
q_995,What type of clothing does the British partnership with Beyoncé sell?
q_996,What national disaster caused Beyonce to create the Survivor Foundation?
q_997,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?"
q_998,What hurricane years later after Katrina did the organization provide support for?
q_999,What did Beyonce and Rowland found in 2005?
